path	ngenes_tscore	Dx_z	Dx_pval	Dx_pval_BHcorr	genes_path	tissue	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForSCZ
Deactivation of the beta-catenin transactivating complex	6	3.45288239227661	0.00055463075598481	0.0195685107752589	CTNNBIP1,RBBP5,XPO1,CTNNB1,UBA52,CBY1	DLPC_CMC	genes P < pathway P	Reactome	Urea-and-Selinexor	2	DB03904-and-DB11942	CTNNB1-and-XPO1	
Defective LFNG causes SCDO3	2	5.0969363635627	3.45194302338663e-07	0.000102400887788177	NOTCH4,NOTCH1	DLPC_CMC	genes P < pathway P	Reactome		0			
Defective Mismatch Repair Associated With MLH1	2	3.04831150997292	0.00230131233142732	0.0472627726573731	MLH1,PMS2	DLPC_CMC	genes P < pathway P	Reactome	Adenosine 5'-[gamma-thio]triphosphate	1	DB02930	PMS2	
Diseases associated with O-glycosylation of proteins	25	3.32747294417805	0.000876374987851612	0.0241178396656764	SEMA5B,MUC20,SPON2,ADAMTS3,SEMA5A,ADAMTS6,ADAMTS19,ADAMTS2,NOTCH4,THBS2,THSD7A,MUC12,SSPO,SBSPON,ADAMTS13,NOTCH1,ADAMTS14,SPON1,ADAMTS8,THSD1,THSD4,ADAMTSL3,ADAMTS17,ADAMTS18,ADAMTS5	DLPC_CMC	genes P < pathway P	Reactome	Batimastat-and-(2R)-N~4~-hydroxy-2-(3-hydroxybenzyl)-N~1~-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]butanediamide-and-N-hydroxy-4-({4-[4-(trifluoromethyl)phenoxy]phenyl}sulfonyl)tetrahydro-2H-pyran-4-carboxamide-and-Vonicog Alfa-and-Von Willebrand Factor Human	5	DB03880-and-DB06837-and-DB06945-and-DB12872-and-DB13133	ADAMTS5-and-ADAMTS13	
Fructose catabolism	2	3.0768492585404	0.00209201065127264	0.0449782290023618	GLYCTK,ALDOB	DLPC_CMC	genes P < pathway P	Reactome	1,6-Fructose Diphosphate (Linear Form)-and-sn-glycerol 3-phosphate-and-Dihydroxyacetone phosphate	3	DB02512-and-DB02515-and-DB04326	ALDOB	
Generation of second messenger molecules	8	3.54365845920031	0.00039461609153852	0.0161640330342219	NCK1,HLA-DRA,HLA-DRB1,HLA-DQA1,HLA-DPA1,HLA-DPB1,PAK1,CD4	DLPC_CMC	genes P < pathway P	Reactome	Antithymocyte immunoglobulin (rabbit)-and-1D09C3-and-Glatiramer-and-Clenoliximab-and-Coccidioides immitis spherule-and-Fostamatinib-and-Ibalizumab	7	DB00098-and-DB05121-and-DB05259-and-DB06241-and-DB11294-and-DB12010-and-DB12698	CD4-and-HLA-DRA-and-HLA-DRB1-and-PAK1	
Glyoxylate metabolism and glycine degradation	14	3.06633683181163	0.00216699046313832	0.0458735211888974	DBT,LIPT1,PDHB,LIAS,BCKDHB,DDO,DLD,GLDC,GRHPR,HOGA1,PDHX,PXMP2,DLST,GOT2	DLPC_CMC	genes P < pathway P	Reactome	Pyridoxal phosphate-and-Pyruvic acid-and-Aspartic acid-and-Glutamic acid-and-Glycine-and-Cysteine-and-NADH-and-Lipoic acid-and-4'-Deoxy-4'-Acetylyamino-Pyridoxal-5'-Phosphate-and-Flavin adenine dinucleotide	14	DB00114-and-DB00119-and-DB00128-and-DB00142-and-DB00145-and-DB00151-and-DB00157-and-DB00166-and-DB02783-and-DB03147	GLDC-and-GOT2-and-PDHB-and-DLD-and-LIPT1-and-LIAS	Glutamic acid-and-Glycine
Golgi Cisternae Pericentriolar Stack Reorganization	5	3.40592371943877	0.000659406005174788	0.0206214241618297	BLZF1,USO1,RAB2A,CDK1,MAPK3	DLPC_CMC	genes P < pathway P	Reactome	Sulindac-and-Arsenic trioxide-and-Indirubin-3'-monoxime-and-Olomoucine-and-Purvalanol-and-Hymenialdisine-and-SU9516-and-Alvocidib-and-Alsterpaullone-and-5-iodotubercidin-and-Seliciclib-and-AT-7519-and-Cholecystokinin-and-Fostamatinib-and-Ulixertinib	16	DB00605-and-DB01169-and-DB02052-and-DB02116-and-DB02733-and-DB02950-and-DB03428-and-DB03496-and-DB04014-and-DB04604-and-DB06195-and-DB08142-and-DB08862-and-DB12010-and-DB13930	MAPK3-and-CDK1	
HDACs deacetylate histones	7	-3.13927245190071	0.00169367896274325	0.0395000381819443	HIST1H2AB,HIST1H2BC,BRMS1,SUDS3,SAP18,RCOR1,GATAD2A	DLPC_CMC	genes P < pathway P	Reactome	Copper	1	DB09130	HIST1H2BC	
HIV Life Cycle	60	-3.39432063791903	0.000687990901100949	0.0210372328869979	RCC1,XPO1,CHMP3,ERCC3,POLR2D,CCNT2,NUP35,NUP210,PDCD6IP,NCBP2,POLR2B,NUP54,CDK7,TAF9,XRCC4,TAF11,RNGTT,VTA1,NUP43,NUPL2,NUP205,VPS37A,CHMP7,TAF2,VPS28,UBAP1,MVB12B,CDK9,NMT2,TAF10,GTF2H1,NUP160,FEN1,BANF1,CD4,NUP107,VPS37B,GTF2H3,RAN,LIG4,GTF2A2,NUP93,VPS4A,NUP88,POLR2A,NMT1,NUP85,TAF4B,MVB12A,ELL,UBA52,POLR2I,SUPT5H,ERCC2,LIG1,NUP62,CHMP4B,NELFCD,RANGAP1,NUP50	DLPC_CMC	genes P < pathway P	Reactome	Antithymocyte immunoglobulin (rabbit)-and-Bleomycin-and-Iron-and-Myristoyl-Coa-and-S-(2-oxo)pentadecylcoa-and-N-({4-[4-(2-Methyl-1H-imidazol-1-yl)butyl]phenyl}acetyl)-L-seryl-N-(2-cyclohexylethyl)-L-lysinamide-and-Phosphonothreonine-and-(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone-and-Alvocidib-and-S-(Dimethylarsenic)Cysteine-and-Guanosine-5'-Diphosphate-and-SNS-032-and-Seliciclib-and-Clenoliximab-and-1-(CYCLOHEXYLAMINO)-3-(6-METHYL-3,4-DIHYDRO-1H-CARBAZOL-9(2H)-YL)PROPAN-2-OL-and-(Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE-and-Selinexor-and-Ibalizumab-and-Ferrous gluconate-and-Ferrous succinate-and-Ferrous ascorbate-and-Ferrous fumarate-and-Ferrous glycine sulfate	26	DB00098-and-DB00290-and-DB01592-and-DB02180-and-DB02271-and-DB02477-and-DB02482-and-DB03062-and-DB03496-and-DB03963-and-DB04315-and-DB05969-and-DB06195-and-DB06241-and-DB07061-and-DB07838-and-DB11942-and-DB12698-and-DB14488-and-DB14489-and-DB14490-and-DB14491-and-DB14501	CD4-and-LIG1-and-FEN1-and-NMT1-and-NMT2-and-CDK7-and-CDK9-and-XRCC4-and-RAN-and-XPO1	
Highly calcium permeable nicotinic acetylcholine receptors	2	-4.19678347326198	2.7073254126935e-05	0.00248351984524417	CHRNB2,CHRNA2	DLPC_CMC	genes P < pathway P	Reactome	Nicotine-and-Methadone-and-Carbamoylcholine-and-Metocurine iodide-and-Fluoxetine-and-Gallamine triethiodide-and-Dextromethorphan-and-Cisatracurium-and-Atropine-and-Mecamylamine-and-Procaine-and-Rocuronium-and-Atracurium besylate-and-Scopolamine-and-Isoflurane-and-Ethanol-and-Physostigmine-and-Doxacurium-and-Tubocurarine-and-Mivacurium-and-Decamethonium-and-Varenicline-and-Metocurine-and-Pancuronium-and-Pipecuronium-and-Vecuronium-and-Pozanicline-and-RPI-78M-and-Rivanicline-and-Epibatidine-and-Hexamethonium-and-Cytisine	39	DB00184-and-DB00333-and-DB00411-and-DB00416-and-DB00472-and-DB00483-and-DB00514-and-DB00565-and-DB00572-and-DB00657-and-DB00721-and-DB00728-and-DB00732-and-DB00747-and-DB00753-and-DB00898-and-DB00981-and-DB01135-and-DB01199-and-DB01226-and-DB01245-and-DB01273-and-DB01336-and-DB01337-and-DB01338-and-DB01339-and-DB05458-and-DB05740-and-DB05855-and-DB07720-and-DB08960-and-DB09028	CHRNB2-and-CHRNA2	
Hormone ligand-binding receptors	2	-3.89114201667202	9.97735110015192e-05	0.00653754053038525	GNRHR,TSHR	DLPC_CMC	pathway P < genes P & genes FDR < 0.05	Reactome	Leuprolide-and-Goserelin-and-Thyrotropin alfa-and-Cetrorelix-and-Abarelix-and-Gonadorelin-and-Nafarelin-and-Danazol-and-Teverelix-and-Sufugolix-and-Degarelix-and-Buserelin-and-Ganirelix-and-Histrelin-and-Triptorelin-and-Gestrinone-and-Elagolix	17	DB00007-and-DB00014-and-DB00024-and-DB00050-and-DB00106-and-DB00644-and-DB00666-and-DB01406-and-DB05624-and-DB06494-and-DB06699-and-DB06719-and-DB06785-and-DB06788-and-DB06825-and-DB11619-and-DB11979	GNRHR-and-TSHR	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	24	-4.20830497394857	2.57293458172579e-05	0.00248351984524417	FCGR3A,SELL,CD34,CD8A,ITGA4,CD200,HLA-F,HLA-A,HLA-C,HLA-B,MICA,TREM2,PILRB,PILRA,CD81,KLRG1,CLEC2D,CDH1,CLEC4G,ICAM3,PVR,LILRB1,CD40,ITGB2	DLPC_CMC	genes P < pathway P	Reactome	Cetuximab-and-Etanercept-and-Human immunoglobulin G-and-Gemtuzumab ozogamicin-and-Alemtuzumab-and-Alefacept-and-Natalizumab-and-Palivizumab-and-Daclizumab-and-Bevacizumab-and-Abacavir-and-3-Indolebutyric Acid-and-Sphingosine-and-N-Formylmethionine-and-ATL1102-and-CDP323-and-R1295-and-R411-and-Nelipepimut-S-and-Lucatumumab-and-Catumaxomab-and-Tinzaparin-and-Myristic acid-and-Vedolizumab-and-Coccidioides immitis spherule-and-Sarilumab-and-Benralizumab-and-Dacetuzumab	29	DB00002-and-DB00005-and-DB00028-and-DB00056-and-DB00087-and-DB00092-and-DB00108-and-DB00110-and-DB00111-and-DB00112-and-DB01048-and-DB02740-and-DB03203-and-DB04464-and-DB04997-and-DB05092-and-DB05122-and-DB05468-and-DB06226-and-DB06360-and-DB06607-and-DB06822-and-DB08231-and-DB09033-and-DB11294-and-DB11767-and-DB12023-and-DB12589	FCGR3A-and-ITGA4-and-HLA-B-and-HLA-A-and-PVR-and-CD40	
Initial triggering of complement	4	3.5744473792528	0.000350968385510182	0.0155757705814264	C1QA,CFB,C4A,C4B	DLPC_CMC	genes P < pathway P	Reactome	Cetuximab-and-Etanercept-and-Human immunoglobulin G-and-Palivizumab-and-Daclizumab-and-Bevacizumab-and-Zinc-and-4-guanidinobenzoic acid-and-Diisopropylphosphono Group-and-MLN2222-and-Copper-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	17	DB00002-and-DB00005-and-DB00028-and-DB00110-and-DB00111-and-DB00112-and-DB01593-and-DB02459-and-DB04491-and-DB06503-and-DB09130-and-DB14487-and-DB14533-and-DB14548	C1QA-and-C4A-and-C4B-and-CFB	
Late Phase of HIV Life Cycle	54	-3.41152428583645	0.000646007463415683	0.0206214241618297	RCC1,XPO1,CHMP3,ERCC3,POLR2D,CCNT2,NUP35,NUP210,PDCD6IP,NCBP2,POLR2B,NUP54,CDK7,TAF9,TAF11,RNGTT,VTA1,NUP43,NUPL2,NUP205,VPS37A,CHMP7,TAF2,VPS28,UBAP1,MVB12B,CDK9,NMT2,TAF10,GTF2H1,NUP160,NUP107,VPS37B,GTF2H3,RAN,GTF2A2,NUP93,VPS4A,NUP88,POLR2A,NMT1,NUP85,TAF4B,MVB12A,ELL,UBA52,POLR2I,SUPT5H,ERCC2,NUP62,CHMP4B,NELFCD,RANGAP1,NUP50	DLPC_CMC	genes P < pathway P	Reactome	Myristoyl-Coa-and-S-(2-oxo)pentadecylcoa-and-N-({4-[4-(2-Methyl-1H-imidazol-1-yl)butyl]phenyl}acetyl)-L-seryl-N-(2-cyclohexylethyl)-L-lysinamide-and-Phosphonothreonine-and-(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone-and-Alvocidib-and-Guanosine-5'-Diphosphate-and-SNS-032-and-Seliciclib-and-1-(CYCLOHEXYLAMINO)-3-(6-METHYL-3,4-DIHYDRO-1H-CARBAZOL-9(2H)-YL)PROPAN-2-OL-and-(Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE-and-Selinexor	15	DB02180-and-DB02271-and-DB02477-and-DB02482-and-DB03062-and-DB03496-and-DB04315-and-DB05969-and-DB06195-and-DB07061-and-DB07838-and-DB11942	NMT1-and-NMT2-and-CDK7-and-CDK9-and-RAN-and-XPO1	
MAPK3 (ERK1) activation	6	3.36337732403	0.000769950479062716	0.0216363974270227	JAK1,IL6ST,JAK2,CDK1,MAP2K1,MAPK3	DLPC_CMC	genes P < pathway P	Reactome	Sulindac-and-Arsenic trioxide-and-Indirubin-3'-monoxime-and-Olomoucine-and-K-252a-and-Myricetin-and-Purvalanol-and-Hymenialdisine-and-5-Bromo-N-[(2S)-2,3-dihydroxypropoxy]-3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]benzamide-and-SU9516-and-Alvocidib-and-Alsterpaullone-and-5-iodotubercidin-and-2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one-and-Cobimetinib-and-XL019-and-Seliciclib-and-Bosutinib-and-(5S)-4,5-difluoro-6-[(2-fluoro-4-iodophenyl)imino]-N-(2-hydroxyethoxy)cyclohexa-1,3-diene-1-carboxamide-and-2-[(2-chloro-4-iodophenyl)amino]-N-{[(2R)-2,3-dihydroxypropyl]oxy}-3,4-difluorobenzamide-and-PD-0325901-and-5-phenyl-1H-indazol-3-amine-and-4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide-and-4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM-and-N-(5-{3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]phenyl}-1,3,4-oxadiazol-2-yl)ethane-1,2-diamine-and-AT-7519-and-2-[(4-ETHYNYL-2-FLUOROPHENYL)AMINO]-3,4-DIFLUORO-N-(2-HYDROXYETHOXY)BENZAMIDE-and-Cholecystokinin-and-Ruxolitinib-and-Tofacitinib-and-Trametinib-and-Selumetinib-and-Baricitinib-and-Entrectinib-and-Fostamatinib-and-Fedratinib-and-Ulixertinib-and-Zanubrutinib-and-Upadacitinib	47	DB00605-and-DB01169-and-DB02052-and-DB02116-and-DB02152-and-DB02375-and-DB02733-and-DB02950-and-DB03115-and-DB03428-and-DB03496-and-DB04014-and-DB04604-and-DB04716-and-DB05239-and-DB05243-and-DB06195-and-DB06616-and-DB06892-and-DB07046-and-DB07101-and-DB07161-and-DB07162-and-DB08067-and-DB08130-and-DB08142-and-DB08208-and-DB08862-and-DB08877-and-DB08895-and-DB08911-and-DB11689-and-DB11817-and-DB11986-and-DB12010-and-DB12500-and-DB13930-and-DB15035-and-DB15091	MAPK3-and-CDK1-and-MAP2K1-and-JAK1-and-JAK2	
Metabolism of RNA	227	-3.1192431278135	0.00181316280283785	0.0409001969951619	EXOSC10,RPL11,DNAJC8,SF3A3,PPIE,TRIT1,EBNA1BP2,RPS8,NSUN4,ZCCHC11,SRSF11,TYW3,DDX20,BCAS2,PSMD4,PSMB4,CHTOP,ADAR,SMG5,TSEN15,DIEXF,HEATR1,TRMT61B,PSME4,XPO1,C1D,PNO1,SNRNP27,MPHOSPH10,GCFC2,ERCC3,POLR2D,IMP4,PRPF40A,CWC22,NUP35,WDR75,SF3B1,TYW5,PPIL3,WDR12,RPL37A,RQCD1,TRNT1,NUP210,RPSA,RPL14,GNL3,PRKCD,THOC7,RPL24,U2SURP,NCBP2,TRMT44,RPL9,POLR2B,NUP54,EIF4E,TRMT10A,GAR1,METTL14,LSM6,NSUN2,PAIP1,CWC27,PPWD1,CDK7,RPS23,TTC37,RIOK2,WDR36,CNOT8,THG1L,SLU7,CNOT6,RPP40,CDKAL1,SKIV2L,PSMB8,PSMB9,RPS18,WDR46,SNRPC,RPL10A,MTO1,RNGTT,PPIL6,RPS12,HBS1L,ADAT2,PPIL4,NUP43,TFB1M,WTAP,PSMB1,ACTB,NUPL2,HNRNPA2B1,LSM5,TYW1,CPSF4,NUP205,ERI1,KIAA1456,CNOT7,RPS20,DCAF13,RPL8,RCL1,RPS6,NOL6,EXOSC3,HNRNPK,TEX10,PSMD5,RPL12,URM1,GLE1,RPP38,NSUN6,BMS1,CSTF2T,RPS24,EXOSC1,PSMD13,RPLP2,GTF2H1,NAT10,PSMC3,NUP160,SF3B2,RPS3,PCF11,CWC15,ALKBH8,RPS25,ZCRB1,RPS26,PAN2,NUP107,KRR1,UTP20,SRSF9,POP5,GTF2H3,DHX37,RAN,PUS1,PAN3,UTP14C,UPF3A,OSGEP,PSMB5,RPL36AL,SRSF5,SNW1,CPSF2,TRMT61A,SNRPN,NOP10,RPS27L,RPP25,SNUPN,PSMA4,SNRNP25,RNPS1,THUMPD1,NUP93,DUS2,NIP7,NOB1,EXOSC6,SF3B3,DHX38,ADAT1,MPHOSPH6,RPL13,GEMIN4,TSR1,PSMB6,NUP88,POLR2A,ELAC2,SNORD3A,RPL23A,UTP6,DDX52,NT5C3B,UTP18,SMG8,FTSJ3,PSMC5,NUP85,TSEN54,SRSF2,RIOK3,TXNL4A,RPL36,XAB2,RPS28,GTPBP3,UBA52,U2AF1L4,POLR2I,SUPT5H,SNRPA,GEMIN7,ERCC2,SNRPD2,SYMPK,SNRNP70,NUP62,CNOT3,RPS9,RPS5,PSMF1,NOP56,SNRPB2,PRPF6,RRP1,PWP2,ADARB1,TFIP11,RPL3,RRP7A,NUP50,MAPK11	DLPC_CMC	genes P < pathway P	Reactome	Bortezomib-and-7-methyl-GpppA-and-7-methyl-7,8-dihydroguanosine-5'-diphosphate-and-Malonic acid-and-Phosphonothreonine-and-(S)-3-phenyllactic acid-and-7-methyl-guanosine-5'-triphosphate-and-Uridine-and-Alvocidib-and-Uridine monophosphate-and-Quercetin-and-Citric acid-and-Guanosine-5'-Diphosphate-and-13-Acetylphorbol-and-Omacetaxine mepesuccinate-and-Tigapotide-and-Ingenol mebutate-and-KC706-and-LY2275796-and-SNS-032-and-Seliciclib-and-Anisomycin-and-S-[(1-Hydroxy-2,2,5,5-tetramethyl-2,5-dihydro-1H-pyrrol-3-yl)methyl] methanesulfonothioate-and-Puromycin-and-(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE-and-Carfilzomib-and-Regorafenib-and-Xanthinol-and-Copper-and-Artenimol-and-Selinexor-and-Fostamatinib-and-Radezolid-and-Phenethyl Isothiocyanate-and-H3B-8800	69	DB00188-and-DB01649-and-DB01960-and-DB02175-and-DB02482-and-DB02494-and-DB02716-and-DB02745-and-DB03496-and-DB03685-and-DB04216-and-DB04272-and-DB04315-and-DB04376-and-DB04865-and-DB04985-and-DB05013-and-DB05157-and-DB05165-and-DB05969-and-DB06195-and-DB07374-and-DB08217-and-DB08437-and-DB08515-and-DB08889-and-DB08896-and-DB09092-and-DB09130-and-DB11638-and-DB11942-and-DB12010-and-DB12339-and-DB12695-and-DB14017	PSMB5-and-PSMB1-and-EIF4E-and-SNRPA-and-CDK7-and-RPL23A-and-RPL8-and-RPL3-and-RPL11-and-LSM6-and-ACTB-and-SF3B3-and-RAN-and-PRKCD-and-RPSA-and-MAPK11-and-PSMA4-and-PSMB4-and-PSMB6-and-PSMB8-and-PSMB9-and-HNRNPA2B1-and-HNRNPK-and-RPL14-and-RPS18-and-RPS28-and-RPS5-and-RPS6-and-RPS8-and-RPS9-and-SNRPD2-and-XPO1-and-RIOK2-and-RIOK3-and-NIP7-and-PSMC3-and-SF3A3-and-SF3B1	
Metabolism of nitric oxide	4	3.23339099351254	0.00122330010771174	0.031171499040951	NOSTRIN,DDAH2,CAV1,ZDHHC21	DLPC_CMC	genes P < pathway P	Reactome	Citrulline	1	DB00155	DDAH2	
Mitochondrial calcium ion transport	7	-3.0521631377047	0.00227198584621817	0.0472627726573731	C2orf47,PARL,MICU3,MICU1,SLC8A3,SPG7,AKAP1	DLPC_CMC	genes P < pathway P	Reactome		0			
Mitotic Telophase/Cytokinesis	4	-4.48936084868105	7.14371948659449e-06	0.000933736317244215	NUDC,PDS5A,RAD21,MAU2	DLPC_CMC	pathway P < genes P & genes FDR < 0.05	Reactome	Phenethyl Isothiocyanate	1	DB12695	NUDC	
NICD traffics to nucleus	4	3.81843818470886	0.000134299226014531	0.00803459717373892	KAT2B,NOTCH4,NOTCH1,SNW1	DLPC_CMC	genes P < pathway P	Reactome	Coenzyme A-and-(3E)-4-(1-METHYL-1H-INDOL-3-YL)BUT-3-EN-2-ONE-and-N-(3-AMINOPROPYL)-2-NITROBENZENAMINE	3	DB01992-and-DB08186-and-DB08291	KAT2B	
