path	ngenes_tscore	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_BHcorr	genes_path	tissue	replicated	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForCAD
TP53 Regulates Metabolic Genes	6	3.32821019210449	0.000874058925782905	0.0404252253174594	COX7A2L,LRPPRC,COX14,COX16,COX11,YWHAB	Adrenal_Gland	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	Copper-and-Phenethyl Isothiocyanate	2	DB09130-and-DB12695	YWHAB	
Antimicrobial peptides	5	3.46221957057591	0.000535739891914141	0.0314107139520749	DEFB1,DEFA1,CLU,LYZ,BPI	Artery_Aorta	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	Aspartic acid-and-Zinc-and-(R)-Propylene glycol-and-4-methyl-umbelliferyl-N-acetyl-chitobiose-and-Sucrose-and-Arsanilic acid-and-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosamine-and-p-Toluenesulfonic acid-and-Propyl alcohol-and-Cu-Cyclam-and-(S)-Aspartimide-and-Dodecyl sulfate-and-Di-Stearoyl-3-Sn-Phosphatidylcholine-and-Triacetylchitotriose-and-Methylumbelliferyl chitotriose-and-UNDECA-3,7-DIENE-1,3,7,11-TETRACARBALDEHYDE-and-Copper-and-Rose bengal-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	21	DB00128-and-DB01593-and-DB02159-and-DB02759-and-DB02772-and-DB03006-and-DB03013-and-DB03120-and-DB03175-and-DB03189-and-DB03487-and-DB03967-and-DB04178-and-DB04194-and-DB04268-and-DB06912-and-DB09130-and-DB11182-and-DB14487-and-DB14533-and-DB14548	LYZ-and-CLU-and-BPI	
Death Receptor Signalling	25	4.40752295340005	1.04559523076426e-05	0.00422194260785371	ARHGEF19,ITGB3BP,RTN4,NGEF,USP4,ARHGEF26,RASGRF2,RIPK1,SMPD2,ARHGEF35,TNFRSF10B,ARHGEF39,FGD3,TRAF1,NET1,MADD,USP2,ARHGEF7,MCF2L,ARHGEF40,PSEN1,SPPL2A,UBA52,ARHGEF1,PREX1	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	HGS-TR2J-and-Lexatumumab-and-Fostamatinib	3	DB05895-and-DB06599-and-DB12010	TNFRSF10B-and-RIPK1	
STAT6-mediated induction of chemokines	2	3.47706705452144	0.00050693102046659	0.0314107139520749	TMEM173,STAT6	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
p75 NTR receptor-mediated signalling	18	3.48942927776869	0.000484053123805802	0.0314107139520749	ARHGEF19,ITGB3BP,RTN4,NGEF,ARHGEF26,RASGRF2,SMPD2,ARHGEF35,ARHGEF39,FGD3,NET1,ARHGEF7,MCF2L,ARHGEF40,PSEN1,UBA52,ARHGEF1,PREX1	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
Epigenetic regulation of gene expression	6	-3.61035347582382	0.000305780003137643	0.0264718117002017	H3F3A,POLR1A,ERCC3,GTF2H5,CHD4,AEBP2	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
Metabolism of vitamins and cofactors	14	-3.25500867400466	0.00113388902686022	0.0429460468923307	PARP8,DHFR,MUT,VNN2,NMRK1,CUBN,NADSYN1,COQ5,SHMT1,PNPO,MOCOS,PTGIS,HLCS,PDXK	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Pyridoxal phosphate-and-Cyanocobalamin-and-Tetrahydrofolic acid-and-Biotin-and-L-Glutamine-and-Glutamic acid-and-Glycine-and-Pyridoxal-and-NADH-and-Folic acid-and-Pyridoxine-and-Hydroxocobalamin-and-Pyrimethamine-and-Lamotrigine-and-Methotrexate-and-Pemetrexed-and-Gentamicin-and-Phenylbutazone-and-Mimosine-and-Proguanil-and-Trimetrexate-and-Epoprostenol-and-Triglu-5-formyl-tetrahydrofolate-and-2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine-and-Pyridoxine phosphate-and-2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline-and-6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine-and-N6-(2,5-Dimethoxy-Benzyl)-N6-Methyl-Pyrido[2,3-D]Pyrimidine-2,4,6-Triamine-and-5-hydroxymethyl-5,6-dihydrofolic acid-and-N-Pyridoxyl-Glycine-5-Monophosphate-and-2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-Sri-9662-and-2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium-and-Flavin mononucleotide-and-Mercaptoethanol-and-Sri-9439-and-Nicotinamide adenine dinucleotide phosphate-and-Piritrexim-and-Biopterin-and-Urea-and-Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate-and-2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL-and-(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol-and-Iclaprim-and-Pralatrexate-and-5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[3-(2,5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2,4-diamine-and-[N-(2,4-DIAMINOPTERIDIN-6-YL)-METHYL]-DIBENZ[B,F]AZEPINE-and-(4aS)-5-[(2,4-diaminopteridin-6-yl)methyl]-4a,5-dihydro-2H-dibenzo[b,f]azepin-8-ol-and-(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine-and-(5Z)-7-{(1R,4S,5R,6R)-6-[(1E)-1-Octen-1-yl]-2,3-diazabicyclo[2.2.1]hept-2-en-5-yl}-5-heptenoic acid-and-Aminopterin	63	DB00114-and-DB00115-and-DB00116-and-DB00121-and-DB00130-and-DB00142-and-DB00145-and-DB00147-and-DB00157-and-DB00158-and-DB00165-and-DB00200-and-DB00205-and-DB00555-and-DB00563-and-DB00642-and-DB00798-and-DB00812-and-DB01055-and-DB01131-and-DB01157-and-DB01240-and-DB02067-and-DB02104-and-DB02209-and-DB02427-and-DB02559-and-DB02583-and-DB02800-and-DB02824-and-DB02919-and-DB03060-and-DB03125-and-DB03247-and-DB03345-and-DB03351-and-DB03461-and-DB03695-and-DB03886-and-DB03904-and-DB03909-and-DB03987-and-DB04770-and-DB04776-and-DB06358-and-DB06813-and-DB07140-and-DB07141-and-DB07142-and-DB07144-and-DB08234-and-DB08406-and-DB08448-and-DB08642-and-DB08675-and-DB08878	SHMT1-and-PNPO-and-MOCOS-and-MUT-and-CUBN-and-HLCS-and-NADSYN1-and-PDXK-and-DHFR-and-PTGIS	
Metabolism of water-soluble vitamins and cofactors	13	-3.26905654168065	0.00107906736269269	0.0429460468923307	PARP8,DHFR,MUT,VNN2,NMRK1,CUBN,NADSYN1,SHMT1,PNPO,MOCOS,PTGIS,HLCS,PDXK	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Pyridoxal phosphate-and-Cyanocobalamin-and-Tetrahydrofolic acid-and-Biotin-and-L-Glutamine-and-Glutamic acid-and-Glycine-and-Pyridoxal-and-NADH-and-Folic acid-and-Pyridoxine-and-Hydroxocobalamin-and-Pyrimethamine-and-Lamotrigine-and-Methotrexate-and-Pemetrexed-and-Gentamicin-and-Phenylbutazone-and-Mimosine-and-Proguanil-and-Trimetrexate-and-Epoprostenol-and-Triglu-5-formyl-tetrahydrofolate-and-2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine-and-Pyridoxine phosphate-and-2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline-and-6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine-and-N6-(2,5-Dimethoxy-Benzyl)-N6-Methyl-Pyrido[2,3-D]Pyrimidine-2,4,6-Triamine-and-5-hydroxymethyl-5,6-dihydrofolic acid-and-N-Pyridoxyl-Glycine-5-Monophosphate-and-2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-Sri-9662-and-2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium-and-Flavin mononucleotide-and-Mercaptoethanol-and-Sri-9439-and-Nicotinamide adenine dinucleotide phosphate-and-Piritrexim-and-Biopterin-and-Urea-and-Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate-and-2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL-and-(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol-and-Iclaprim-and-Pralatrexate-and-5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[3-(2,5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2,4-diamine-and-[N-(2,4-DIAMINOPTERIDIN-6-YL)-METHYL]-DIBENZ[B,F]AZEPINE-and-(4aS)-5-[(2,4-diaminopteridin-6-yl)methyl]-4a,5-dihydro-2H-dibenzo[b,f]azepin-8-ol-and-(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine-and-(5Z)-7-{(1R,4S,5R,6R)-6-[(1E)-1-Octen-1-yl]-2,3-diazabicyclo[2.2.1]hept-2-en-5-yl}-5-heptenoic acid-and-Aminopterin	63	DB00114-and-DB00115-and-DB00116-and-DB00121-and-DB00130-and-DB00142-and-DB00145-and-DB00147-and-DB00157-and-DB00158-and-DB00165-and-DB00200-and-DB00205-and-DB00555-and-DB00563-and-DB00642-and-DB00798-and-DB00812-and-DB01055-and-DB01131-and-DB01157-and-DB01240-and-DB02067-and-DB02104-and-DB02209-and-DB02427-and-DB02559-and-DB02583-and-DB02800-and-DB02824-and-DB02919-and-DB03060-and-DB03125-and-DB03247-and-DB03345-and-DB03351-and-DB03461-and-DB03695-and-DB03886-and-DB03904-and-DB03909-and-DB03987-and-DB04770-and-DB04776-and-DB06358-and-DB06813-and-DB07140-and-DB07141-and-DB07142-and-DB07144-and-DB08234-and-DB08406-and-DB08448-and-DB08642-and-DB08675-and-DB08878	SHMT1-and-PNPO-and-MOCOS-and-MUT-and-CUBN-and-HLCS-and-NADSYN1-and-PDXK-and-DHFR-and-PTGIS	
RNA Polymerase I Chain Elongation	4	-3.6533732024742	0.000258817625521789	0.0261405801777007	H3F3A,POLR1A,ERCC3,GTF2H5	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
RNA Polymerase I Promoter Clearance	5	-4.02780932119629	5.62989728155304e-05	0.022865015724049	H3F3A,POLR1A,ERCC3,GTF2H5,CHD4	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
RNA Polymerase I Promoter Escape	3	-3.3903746905813	0.000697971553589759	0.038451887406854	POLR1A,ERCC3,GTF2H5	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
RNA Polymerase I Transcription Initiation	4	-3.78954380550503	0.000150924196198343	0.022865015724049	POLR1A,ERCC3,GTF2H5,CHD4	Artery_Coronary	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
Interleukin-6 signaling	2	-4.35931184529034	1.30472077649527e-05	0.000812188683368306	CBL,STAT3	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	ENMD-1198	1	DB05959	STAT3	
MAPK targets/ Nuclear events mediated by MAP kinases	3	3.82279805225277	0.000131945840422332	0.00518755488397272	MAPK8,ATF1,RPS6KA5	Colon_Sigmoid	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	Tamoxifen-and-Pseudoephedrine-and-Pyrazolanthrone-and-6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE-and-2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE-and-N-(4-AMINO-5-CYANO-6-ETHOXYPYRIDIN-2-YL)-2-(4-BROMO-2,5-DIMETHOXYPHENYL)ACETAMIDE-and-5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE-and-2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide	8	DB00675-and-DB00852-and-DB01782-and-DB07218-and-DB07268-and-DB07272-and-DB07276-and-DB07845	MAPK8-and-ATF1	
Netrin-1 signaling	5	3.20476796838888	0.0013517140038307	0.0420720983692305	MAPK13,UNC5D,MAPK8,TRPC6,MAPK12	Colon_Sigmoid	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	Tamoxifen-and-Pyrazolanthrone-and-Phosphonothreonine-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-KC706-and-CEP-1347-and-6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE-and-2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE-and-N-(4-AMINO-5-CYANO-6-ETHOXYPYRIDIN-2-YL)-2-(4-BROMO-2,5-DIMETHOXYPHENYL)ACETAMIDE-and-5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE-and-2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide-and-Fostamatinib	13	DB00675-and-DB01782-and-DB02482-and-DB04395-and-DB05157-and-DB05403-and-DB07218-and-DB07268-and-DB07272-and-DB07276-and-DB07845-and-DB12010	MAPK8-and-MAPK12-and-MAPK13	
Signaling by SCF-KIT	3	-3.60535483908766	0.00031172669959742	0.0116429922299636	HRAS,CBL,STAT3	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Hexane-1,6-Diol-and-Trifluoroethanol-and-Guanosine-5'-Triphosphate-and-Guanosine-5'-Diphosphate-and-ENMD-1198-and-N,N'-DIMETHYL-N-(ACETYL)-N'-(7-NITROBENZ-2-OXA-1,3-DIAZOL-4-YL)ETHYLENEDIAMINE	6	DB02210-and-DB03226-and-DB04137-and-DB04315-and-DB05959-and-DB08751	HRAS-and-STAT3	
Epigenetic regulation of gene expression	12	-3.73815722491202	0.000185374012318087	0.0454876674249147	H3F3A,TAF1B,POLR1A,POLR1B,ERCC3,GSK3B,CDK7,POLR2L,GTF2H1,POLR1D,TAF1C,DNMT3B	Colon_Transverse	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
Inactivation, recovery and regulation of the phototransduction cascade	7	3.51252460283337	0.00044387090666995	0.0458296711136724	GNB1,GRK4,CNGA1,METAP1,GRK1,GNB5,PRKCA	Colon_Transverse	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Phosphatidyl serine-and-Vitamin E-and-Tamoxifen-and-Dequalinium-and-Ovalicin-and-Ingenol mebutate-and-Aprinocarsen-and-Midostaurin-and-Perifosine-and-5-CHLORO-6-METHYL-N-(2-PHENYLETHYL)-2-PYRIDIN-2-YLPYRIMIDIN-4-AMINE-and-TERT-BUTYL {2-[(1,3-THIAZOL-2-YLAMINO)CARBONYL]PYRIDIN-3-YL}CARBAMATE-and-3-[(2,2-DIMETHYLPROPANOYL)AMINO]-N-1,3-THIAZOL-2-YLPYRIDINE-2-CARBOXAMIDE-and-Ellagic acid-and-Bryostatin 1-and-alpha-Tocopherol succinate-and-D-alpha-Tocopherol acetate	16	DB00144-and-DB00163-and-DB00675-and-DB04209-and-DB04324-and-DB05013-and-DB06451-and-DB06595-and-DB06641-and-DB07901-and-DB07902-and-DB07903-and-DB08846-and-DB11752-and-DB14001-and-DB14002	PRKCA-and-CNGA1-and-METAP1	
RHO GTPases activate KTN1	2	3.74335861460765	0.00018157679123568	0.0454876674249147	RAC1,KLC1	Colon_Transverse	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Azathioprine-and-Guanosine-5'-Diphosphate	2	DB00993-and-DB04315	RAC1	
RNA Polymerase I Chain Elongation	10	-3.51906781510961	0.000433065993866524	0.0458296711136724	H3F3A,TAF1B,POLR1A,POLR1B,ERCC3,CDK7,POLR2L,GTF2H1,POLR1D,TAF1C	Colon_Transverse	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
Respiratory electron transport	10	3.47392332082795	0.000512907587071511	0.0470735185467853	COX7A2L,NDUFA10,ACAD9,NDUFB2,SURF1,COX16,TRAP1,SCO1,COX11,NDUFV3	Colon_Transverse	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	NADH-and-Copper-and-Ubidecarenone	5	DB00157-and-DB09130-and-DB09270	NDUFA10-and-NDUFB2-and-NDUFV3-and-SCO1	
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	15	3.62485808866724	0.000289120166913674	0.0458296711136724	COX7A2L,NDUFA10,ACAD9,SLC25A27,NDUFB2,SURF1,ATP5G2,ATP5S,COX16,TRAP1,SCO1,COX11,ATP5H,ATP5E,NDUFV3	Colon_Transverse	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	NADH-and-Quercetin-and-1-ACETYL-2-CARBOXYPIPERIDINE-and-AUROVERTIN B-and-Piceatannol-and-N1-(2-AMINO-4-METHYLPENTYL)OCTAHYDRO-PYRROLO[1,2-A] PYRIMIDINE-and-Ubidecarenone-and-Artenimol-and-Phenethyl Isothiocyanate	13	DB00157-and-DB04216-and-DB07384-and-DB07394-and-DB08399-and-DB08629-and-DB09270-and-DB11638-and-DB12695	NDUFA10-and-NDUFA6-and-NDUFB10-and-NDUFV3-and-ATP5A1-and-ATP5L	
Signaling by SCF-KIT	2	3.56525134792549	0.000363507652513393	0.0458296711136724	RAC1,PRKCA	Colon_Transverse	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Hexane-1,6-Diol-and-Trifluoroethanol-and-Guanosine-5'-Triphosphate-and-Guanosine-5'-Diphosphate-and-ENMD-1198-and-N,N'-DIMETHYL-N-(ACETYL)-N'-(7-NITROBENZ-2-OXA-1,3-DIAZOL-4-YL)ETHYLENEDIAMINE	6	DB02210-and-DB03226-and-DB04137-and-DB04315-and-DB05959-and-DB08751	HRAS-and-STAT3	
Cellular responses to stress	26	-3.20764313035255	0.00133827449057836	0.0381140574916717	GPX7,H3F3A,NUP133,HIGD1A,LIMD1,MAPKAPK3,GPX3,MRPL18,NUPL2,NBN,CCNE2,NUDT2,CDC26,NUP188,HSPA12A,PSMD13,CAT,PHC1,NUP107,PSMD9,CDC16,PSMA4,TNRC6A,CYBA,NUP85,CBX8	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Glutathione-and-Vitamin E-and-Troglitazone-and-Chlorambucil-and-Acetaminophen-and-Clozapine-and-Cisplatin-and-Oxaliplatin-and-Tamoxifen-and-Etoposide-and-Etacrynic acid-and-Carboplatin-and-Busulfan-and-Clomipramine-and-Pyrazolanthrone-and-(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene-and-S-Hydroxycysteine-and-Cibacron Blue-and-Glutathione sulfonic acid-and-Deoxycholic acid-and-S-(4-nitrobenzyl)glutathione-and-2-(N-morpholino)ethanesulfonic acid-and-S-Hexylglutathione-and-Carbocisteine-and-Canfosfamide-and-Ezatiostat-and-ENMD-1198-and-Exisulind-and-6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE-and-2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE-and-N-(4-AMINO-5-CYANO-6-ETHOXYPYRIDIN-2-YL)-2-(4-BROMO-2,5-DIMETHOXYPHENYL)ACETAMIDE-and-5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE-and-2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide-and-S-NONYL-CYSTEINE-and-S-(4-BROMOBENZYL)CYSTEINE-and-(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE-and-Curcumin-and-Dinitrochlorobenzene-and-Hypericin-and-alpha-Tocopherol succinate-and-D-alpha-Tocopherol acetate-and-Curcumin sulfate	45	DB00143-and-DB00163-and-DB00197-and-DB00291-and-DB00316-and-DB00363-and-DB00515-and-DB00526-and-DB00675-and-DB00773-and-DB00903-and-DB00958-and-DB01008-and-DB01242-and-DB01782-and-DB01834-and-DB01915-and-DB02633-and-DB03003-and-DB03619-and-DB03686-and-DB03814-and-DB04132-and-DB04339-and-DB04972-and-DB05460-and-DB05959-and-DB06246-and-DB07218-and-DB07268-and-DB07272-and-DB07276-and-DB07845-and-DB07849-and-DB08370-and-DB08515-and-DB11672-and-DB11831-and-DB13014-and-DB14001-and-DB14002-and-DB14635	GPX7-and-GSTP1-and-MAPK8-and-STAT3-and-PSMB6-and-PSMB7	
Cross-presentation of soluble exogenous antigens (endosomes)	4	-3.24162025168565	0.00118852279553021	0.0352595096007294	MRC1,PSMD13,PSMD9,PSMA4	Heart_Atrial_Appendage	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE-and-Technetium Tc-99m tilmanocept	2	DB08515-and-DB09266	PSMA4-and-MRC1	
Cyclin A:Cdk2-associated events at S phase entry	8	-3.07843918783139	0.00208087994766416	0.0462995788355275	CDC25A,CCNE2,PSMD13,PSMD9,LIN52,PSMA4,RBL2,CDC25B	Heart_Atrial_Appendage	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	L-cysteic acid-and-(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	2	DB03661-and-DB08515	CDC25B-and-PSMA4	
Cyclin E associated events during G1/S transition	7	-3.71607179772627	0.000202344106048495	0.0120057502922107	CDC25A,CCNE2,PSMD13,PSMD9,LIN52,PSMA4,RBL2	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	1	DB08515	PSMA4	
G1/S DNA Damage Checkpoints	5	-4.59129144609378	4.40511686212606e-06	0.00156822160291688	CDC25A,CCNE2,PSMD13,PSMD9,PSMA4	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	1	DB08515	PSMA4	
