chromosome_name	start_position	end_position	strand	ensembl_gene_id	external_gene_name
13	95988360	95988455	-1	ENSG00000200211	RNY4P27
13	96046303	96046708	1	ENSG00000271492	MEMO1P5
13	96131698	96186164	-1	ENSG00000223392	CLDN10-AS1
13	24553949	24609166	1	ENSG00000228741	RP11-309I15.1
13	96300987	96329179	-1	ENSG00000247400	DNAJC3-AS1
13	24696204	24697953	-1	ENSG00000225674	IPO7P2
13	96344792	96346226	1	ENSG00000229622	MTND5P2
13	24736555	24736643	1	ENSG00000252695	MIR2276
13	24826887	24828577	-1	ENSG00000227213	SPATA13-AS1
13	96346237	96346749	-1	ENSG00000227714	MTND6P18
13	24889863	24895736	-1	ENSG00000240868	C1QTNF9-AS1
13	96346823	96347959	1	ENSG00000232373	MTCYBP3
13	24902349	24903210	1	ENSG00000234627	NUS1P3
13	96366931	96367032	-1	ENSG00000251901	snR65
13	24905588	24911259	1	ENSG00000261498	LINC00566
13	96461564	96461861	-1	ENSG00000226977	HMGN1P24
13	24974841	24975167	1	ENSG00000233545	CYCSP33
13	96821799	96822099	1	ENSG00000242614	RN7SL164P
13	97225913	97226753	1	ENSG00000233273	AMMECR1LP1
13	24982295	25171814	1	ENSG00000205822	TPTE2P6
13	97536096	97542067	-1	ENSG00000235137	HSP90AB6P
13	97593535	97636426	-1	ENSG00000243300	LINC00359
13	25129366	25129451	-1	ENSG00000266216	AL359538.2
13	25140981	25144866	1	ENSG00000244615	PSPC1P2
13	97599891	97601181	-1	ENSG00000234267	TULP3P1
13	25141011	25171814	1	ENSG00000243008	RP11-556N21.1
13	97600272	97601838	1	ENSG00000272329	RP11-65L19.4
13	25183217	25183313	1	ENSG00000211508	AL359538.1
13	97601503	97601787	-1	ENSG00000222472	RN7SKP7
13	25277694	25277803	-1	ENSG00000207474	RNY1P7
13	97618195	97618268	-1	ENSG00000252154	SNORD112
13	25278476	25278926	-1	ENSG00000225404	RPL26P34
13	97709633	97709734	1	ENSG00000238522	snoU13
13	97824723	97831876	-1	ENSG00000233124	LINC00456
13	25316815	25320322	1	ENSG00000231417	IRX1P1
13	98015226	98015355	-1	ENSG00000202290	RNA5SP37
13	98127996	98128713	1	ENSG00000271625	PSMA6P4
13	25324795	25326309	-1	ENSG00000226695	ANKRD20A10P
13	98327265	98330217	-1	ENSG00000226134	RP11-120E13.1
13	98538063	98538166	1	ENSG00000238407	snoU13
13	98553907	98554542	1	ENSG00000233291	RPL7AP61
13	98591610	98605793	1	ENSG00000270725	RP11-383H17.4
13	25498815	25542625	-1	ENSG00000253771	TPTE2P1
13	98639204	98639470	-1	ENSG00000232217	FTLP8
13	98856089	98856446	-1	ENSG00000222969	RN7SKP8
13	98860778	98860854	1	ENSG00000263399	MIR3170
13	98885904	98886954	1	ENSG00000269189	RP11-573N10.1
13	98981909	98985490	-1	ENSG00000269599	RP11-261P24.2
13	25517713	25518636	1	ENSG00000251299	SLC25A15P3
13	99087659	99088094	-1	ENSG00000231194	FARP1-AS1
13	99205497	99206034	1	ENSG00000271437	RP11-295B17.6
13	25562715	25563063	-1	ENSG00000232858	RPL34P27
13	99229498	99231084	1	ENSG00000224418	STK24-AS1
13	25715794	25716046	1	ENSG00000256305	AL359757.1
13	99262546	99263130	-1	ENSG00000217686	NUS1P4
13	25746966	25754217	-1	ENSG00000234056	AMER2-AS1
13	99281940	99282243	-1	ENSG00000233549	CYCSP35
13	25755579	25763898	1	ENSG00000238169	LINC01053
13	99293068	99293493	-1	ENSG00000233662	CALM2P4
13	25767245	25784433	-1	ENSG00000225105	LINC01076
13	99324234	99324529	1	ENSG00000243366	RN7SL60P
13	25780187	25780644	1	ENSG00000235315	RPL23AP69
13	99484338	99486883	1	ENSG00000229918	DOCK9-AS1
HG706_PATCH	75610476	75660403	-1	ENSG00000261530	BTC
13	25820669	25820753	1	ENSG00000221324	AL590787.1
13	25874262	25875576	-1	ENSG00000260509	RP11-271M24.2
13	99601973	99602701	-1	ENSG00000231981	RPL7L1P12
13	25939937	25940293	-1	ENSG00000234152	TCEB2P1
13	26027137	26027428	-1	ENSG00000265546	RN7SL289P
HG706_PATCH	75418301	75455198	-1	ENSG00000260666	AC142293.3
13	99677488	99677599	1	ENSG00000207298	RNU6-83P
13	26091257	26091363	1	ENSG00000199767	RNU6-78P
13	99740073	99740879	1	ENSG00000260992	DOCK9-AS2
13	26437388	26437805	-1	ENSG00000180803	RP11-467D10.2
13	99825847	99826744	1	ENSG00000230871	RPS6P23
13	26518632	26518891	1	ENSG00000242381	RN7SL741P
HG185_PATCH	39868578	39872221	1	ENSG00000260334	GAST
13	26524842	26524959	-1	ENSG00000223158	RNY1P3
13	26626414	26627523	-1	ENSG00000231983	LINC00415
13	99842833	99843245	-1	ENSG00000234005	GAPDHP22
13	99848631	99852964	-1	ENSG00000228889	UBAC2-AS1
13	26688547	26728313	-1	ENSG00000233963	ATP8A2P3
13	99857962	99858260	1	ENSG00000201793	RN7SKP9
13	99867626	99868012	-1	ENSG00000218502	H2AFZP3
13	100008385	100008482	1	ENSG00000207719	MIR623
13	26691686	26693102	-1	ENSG00000234706	PRUNEP1
13	100024427	100024940	1	ENSG00000228808	HMGB3P4
13	26803469	26803781	-1	ENSG00000271559	RP11-380N8.6
13	100060035	100061316	-1	ENSG00000238241	CCR12P
13	26808350	26811266	1	ENSG00000227882	PRKRIRP6
13	100105650	100105723	-1	ENSG00000266207	AL583784.1
13	100151981	100153306	-1	ENSG00000203441	LINC00449
13	27151023	27151812	1	ENSG00000234031	RPS3AP44
13	100188573	100188650	-1	ENSG00000212197	RNY3P6
13	100229366	100232622	1	ENSG00000234168	LINC01039
13	27180681	27215501	-1	ENSG00000237001	WASF3-AS1
13	100234960	100235434	1	ENSG00000234239	CFL1P8
13	27479499	27479998	1	ENSG00000230256	FGFR1OP2P1
13	27551680	27551926	1	ENSG00000223782	RPS21P8
13	100295313	100295403	1	ENSG00000263615	MIR4306
13	27591688	27592046	-1	ENSG00000218198	RPS20P32
13	100342335	100343225	-1	ENSG00000227659	CLYBL-AS2
13	27736992	27743272	1	ENSG00000232162	USP12-AS1
13	100378501	100379745	-1	ENSG00000234303	CLYBL-AS1
13	27746396	27757135	1	ENSG00000230641	USP12-AS2
13	27810419	27810948	-1	ENSG00000234772	LINC00412
13	100436111	100436237	-1	ENSG00000201245	SNORA25
13	100436308	100436411	-1	ENSG00000238305	snoU13
13	27829201	27829272	1	ENSG00000207500	SNORD102
13	100647153	100650163	-1	ENSG00000260738	LINC00554
13	27829538	27829663	1	ENSG00000207051	SNORA27
13	27894150	27894296	1	ENSG00000221756	AL159977.1
13	100680023	100680428	-1	ENSG00000225999	NDUFA12P1
13	27917785	27917883	-1	ENSG00000252247	RNU6-70P
13	27947485	27948503	1	ENSG00000229609	LINC01079
13	100714550	100715855	-1	ENSG00000236554	ASNSP3
13	27976613	27976724	-1	ENSG00000201242	RNY1P1
13	28008286	28008752	-1	ENSG00000203602	AL137059.1
13	28062275	28062369	1	ENSG00000252499	RNU6-63P
13	100802735	100803346	-1	ENSG00000228501	RPL15P18
13	28270530	28271341	-1	ENSG00000226703	NPM1P4
HG185_PATCH	39873994	39890896	-1	ENSG00000261125	HAP1
13	100850441	100850723	-1	ENSG00000270632	RP11-340C20.3
13	28402900	28403006	1	ENSG00000207330	RNU6-73P
13	101116694	101133411	-1	ENSG00000234650	PCCA-AS1
13	28407581	28495541	-1	ENSG00000247381	PDX1-AS1
13	28527663	28529507	1	ENSG00000260704	LINC00543
13	28563435	28563721	-1	ENSG00000242360	RN7SL272P
13	101187995	101232371	-1	ENSG00000224356	RP11-151A6.4
13	28641724	28642471	1	ENSG00000271026	KATNBL1P1
13	28681568	28682014	1	ENSG00000235115	CHCHD2P8
13	101192089	101192528	-1	ENSG00000234354	RPS26P47
13	28710980	28712330	-1	ENSG00000261485	PAN3-AS1
13	101276129	101276683	-1	ENSG00000237082	COX5BP6
13	28788650	28790034	1	ENSG00000232587	EEF1A1P3
13	28806638	28806744	1	ENSG00000200840	RNU6-82P
13	101360579	101711638	1	ENSG00000233009	NALCN-AS1
13	29172970	29174189	1	ENSG00000235472	EIF4A1P7
13	29277839	29277944	-1	ENSG00000202237	RNU6-53P
13	101408805	101409313	-1	ENSG00000214051	ARF4P3
13	29296523	29298158	-1	ENSG00000233588	CYP51A1P2
13	101593116	101596618	-1	ENSG00000229599	LINC00411
13	29352695	29353074	1	ENSG00000236339	POM121L13P
13	102369198	102369728	-1	ENSG00000272349	RP11-397O8.7
13	29796699	29796778	1	ENSG00000221670	AL596092.1
13	102431234	102431398	-1	ENSG00000201155	RNU1-24P
13	29813516	29824691	-1	ENSG00000236758	MTUS2-AS2
13	102454228	102454838	1	ENSG00000215399	HMGB3P7
13	102619992	102620096	-1	ENSG00000265164	MIR2681
13	29880915	29881922	1	ENSG00000223460	GAPDHP69
13	102654475	102655660	1	ENSG00000229975	LIPT1P1
13	29913703	29914006	-1	ENSG00000270680	RP11-351N4.4
13	102669303	102669419	-1	ENSG00000201690	RNY1P2
13	30050652	30064242	-1	ENSG00000179141	MTUS2-AS1
13	102698284	102698354	-1	ENSG00000264482	MIR4705
13	102915396	102915552	-1	ENSG00000236860	RPL39P29
13	30440096	30440306	-1	ENSG00000236258	TIMM8BP1
13	30446750	30462542	-1	ENSG00000224329	LINC00297
13	102944677	103046869	-1	ENSG00000243319	FGF14-IT1
13	30492784	30500788	-1	ENSG00000224405	LINC00572
13	103019889	103026016	1	ENSG00000234445	FGF14-AS1
13	30510042	30524625	1	ENSG00000122043	LINC00544
13	103046980	103048053	1	ENSG00000272143	FGF14-AS2
13	30596158	30597937	-1	ENSG00000266505	RP11-629E24.2
13	103053821	103054807	-1	ENSG00000270581	RP11-811P12.3
13	103241722	103242163	-1	ENSG00000261057	LINC00555
13	30677315	30683012	-1	ENSG00000224511	LINC00365
13	103331776	103332308	1	ENSG00000269942	RP11-29B2.5
13	30726023	30733758	-1	ENSG00000232117	LINC00384
13	103374152	103374255	1	ENSG00000238869	snoU13
13	103395340	103397574	1	ENSG00000231633	LINC00283
13	30728203	30728723	1	ENSG00000232643	LINC00385
13	103472343	103472419	1	ENSG00000222301	RNY5P8
13	30780753	30780836	-1	ENSG00000266816	AL356750.1
13	30855902	30856006	1	ENSG00000252928	RNU6-64P
13	103532449	103548383	1	ENSG00000250878	METTL21EP
13	30870284	30870872	1	ENSG00000215049	PRDX2P1
13	103541208	103542184	1	ENSG00000272542	RP11-255P5.2
13	30890497	30894040	-1	ENSG00000236463	LINC00427
13	104077550	104080035	1	ENSG00000234551	RP11-123H22.1
13	104096970	104097318	-1	ENSG00000230474	ATP6V1G1P7
13	105466678	105467420	1	ENSG00000225823	RPL7P45
13	106111404	106158030	-1	ENSG00000232307	DAOA-AS1
13	30914407	30951282	-1	ENSG00000238121	LINC00426
13	106356629	106416789	1	ENSG00000226620	LINC00343
13	30993656	30996374	-1	ENSG00000225039	LINC01058
HG185_PATCH	39910856	39943183	-1	ENSG00000261577	JUP
13	106549872	106549992	-1	ENSG00000252550	SNORA25
13	31002084	31002656	1	ENSG00000236444	UBE2L5P
13	106780720	106780837	1	ENSG00000222643	AL603632.1
13	106807721	106807839	-1	ENSG00000222682	RNA5SP38
13	31113734	31117598	-1	ENSG00000213411	RBM22P2
13	107028911	107030565	1	ENSG00000233532	LINC00460
13	31115780	31117034	-1	ENSG00000232489	MFAP1P1
13	107078121	107078470	1	ENSG00000174418	RPL35P9
13	31127807	31128830	1	ENSG00000224117	PTPN2P2
13	107270158	107283707	1	ENSG00000272274	LINC00551
13	107306264	107324511	1	ENSG00000230156	LINC00443
13	31377343	31384782	1	ENSG00000237879	LINC00398
13	107315785	107316195	1	ENSG00000227590	ATP5G1P5
13	107516164	107516634	-1	ENSG00000174408	PPIAP24
13	31456070	31507983	-1	ENSG00000224743	TEX26-AS1
13	107594562	107594907	-1	ENSG00000196777	AL162574.1
13	107627286	107627374	-1	ENSG00000239050	AL354741.1
13	107773381	107773471	1	ENSG00000221316	AL445204.1
13	107973243	107973311	-1	ENSG00000201847	SNORD31
13	108183519	108183596	-1	ENSG00000221650	MIR1267
13	108288379	108288464	1	ENSG00000221473	AL138710.1
13	108440690	108487799	-1	ENSG00000227248	FAM155A-IT1
13	108953560	108953679	-1	ENSG00000223177	RNA5SP39
13	109132574	109134165	1	ENSG00000232087	HCFC2P1
13	109753609	109754267	-1	ENSG00000229938	MYO16-AS2
13	31456688	31457532	1	ENSG00000236094	LINC00545
13	109816250	109853831	-1	ENSG00000236242	MYO16-AS1
13	31547426	31551760	-1	ENSG00000238185	RP11-252M21.6
13	109934321	109940081	1	ENSG00000223617	LINC00370
21	19986749	20022678	1	ENSG00000230233	AF240627.2
13	31569299	31570275	-1	ENSG00000230403	LINC01066
13	109962483	109964121	1	ENSG00000236053	LINC01067
HG185_PATCH	39958199	39968855	-1	ENSG00000261163	LEPREL4
21	20058408	20058482	-1	ENSG00000265841	MIR548X
13	31651391	31689836	1	ENSG00000231894	WDR95P
13	110053043	110053988	1	ENSG00000229792	LINC00399
21	20076689	20076772	-1	ENSG00000221041	AP001537.1
13	110380629	110382354	1	ENSG00000234854	LINC00676
21	20230097	20230594	1	ENSG00000198618	PPIAP22
13	31885426	31887058	1	ENSG00000229427	ANKRD26P4
13	110407168	110407615	-1	ENSG00000255813	AL162497.1
13	110567443	110567767	1	ENSG00000201161	RN7SKP10
13	110705632	110707299	1	ENSG00000231428	LINC00396
21	20290252	20308177	-1	ENSG00000232193	AL157359.4
13	32420978	32527609	1	ENSG00000229715	EEF1DP3
21	20325582	20339376	-1	ENSG00000226204	AL157359.3
13	110750200	110750498	-1	ENSG00000265885	RN7SL783P
13	111066552	111066653	1	ENSG00000238629	snoU13
21	20418629	20420003	-1	ENSG00000235965	AP000431.1
13	111108743	111115634	-1	ENSG00000224821	COL4A2-AS2
13	32559822	32565134	1	ENSG00000235822	LINC01073
21	20502841	20506741	1	ENSG00000229289	AP000431.2
13	32599451	32605776	-1	ENSG00000237637	FRY-AS1
13	111154922	111160526	-1	ENSG00000232814	COL4A2-AS1
21	20616860	20618709	1	ENSG00000226818	SLC6A6P1
13	32872291	32872849	1	ENSG00000230633	RP11-37E23.5
13	111291555	111292340	1	ENSG00000255831	AL139385.1
21	20673930	20676056	1	ENSG00000231620	AP000855.4
13	32958797	32960245	1	ENSG00000215515	IFIT1P1
13	111415021	111415480	-1	ENSG00000225239	RPL21P107
21	20717465	20717629	1	ENSG00000212609	RNU1-139P
13	111462023	111465431	-1	ENSG00000259831	LINC00567
13	32994527	32994653	-1	ENSG00000212293	SNORA16
21	20966155	20966422	1	ENSG00000230198	RPL37P4
13	32999495	33007091	-1	ENSG00000270008	RP11-298P3.4
13	111547406	111551519	-1	ENSG00000229152	ANKRD10-IT1
21	20993009	20993859	1	ENSG00000271486	AP000403.3
21	21112023	21112464	1	ENSG00000229336	AP000568.2
13	33051411	33052978	1	ENSG00000229800	ATP8A2P2
13	111589106	111592131	1	ENSG00000227105	PARP1P1
21	21131673	21132442	-1	ENSG00000215353	C1QBPP
21	21265593	21272069	-1	ENSG00000233480	AP000946.2
13	111635654	111642911	1	ENSG00000225760	LINC00431
21	21629065	21631133	-1	ENSG00000233236	AP001171.1
13	111748185	111755444	1	ENSG00000225870	LINC00368
21	21728060	21728164	-1	ENSG00000251851	RNU6-772P
21	21728965	21729208	1	ENSG00000252963	RN7SKP147
13	111766159	111768025	-1	ENSG00000235875	ARHGEF7-AS2
13	33337576	33337690	-1	ENSG00000207325	RNY1P4
21	21760646	21761157	1	ENSG00000233676	FDPSP6
13	33451569	33485788	-1	ENSG00000226968	LINC00423
13	111774999	111796611	1	ENSG00000233644	ARHGEF7-IT1
21	21797261	21798518	-1	ENSG00000234439	KRT18P2
13	111796652	111797080	-1	ENSG00000227352	ARHGEF7-AS1
13	33528195	33528539	-1	ENSG00000227604	TOMM22P3
21	21802755	21803074	-1	ENSG00000233206	RPS3AP1
13	33615489	33615580	1	ENSG00000221677	AL161898.1
13	112248356	112294426	1	ENSG00000215881	RP11-65D24.1
13	33732724	33738546	-1	ENSG00000230300	STARD13-IT1
HG185_PATCH	39968962	39979465	1	ENSG00000261258	FKBP10
13	112554299	112555490	1	ENSG00000226903	LINC00354
21	22114908	22175534	-1	ENSG00000224924	LINC00320
13	112563079	112563148	-1	ENSG00000264989	AL136302.1
13	112706392	112706452	1	ENSG00000200072	SNORD44
13	112737863	112739785	1	ENSG00000260385	RP11-450H6.3
13	112760409	112761196	-1	ENSG00000229520	LINC00404
21	22200445	22200940	-1	ENSG00000215351	PPIAP1
13	112761433	112762329	1	ENSG00000224243	LINC00403
21	22595616	22599150	-1	ENSG00000226771	AP001136.2
13	112851664	112855314	1	ENSG00000260102	LINC01070
21	22770068	22770146	-1	ENSG00000221210	AP001137.1
21	22939084	22987758	1	ENSG00000234730	AF241725.4
13	112967781	112976072	1	ENSG00000260343	LINC01043
21	23006773	23007049	-1	ENSG00000198434	AF241725.1
13	112976881	112985539	-1	ENSG00000223626	LINC01044
21	23027359	23058649	-1	ENSG00000237527	AF241725.6
13	113372159	113372228	-1	ENSG00000264726	AL162711.1
13	113399763	113409007	-1	ENSG00000232684	ATP11A-AS1
21	23095613	23109639	-1	ENSG00000238265	LINC00317
13	113539551	113539994	1	ENSG00000234603	AL356740.1
13	33845516	33855471	1	ENSG00000236581	STARD13-AS
13	113619149	113620445	-1	ENSG00000267868	RP11-120K24.3
15	20169919	20170354	-1	ENSG00000188403	IGHV1OR15-9
13	113621798	113623138	-1	ENSG00000235280	MCF2L-AS1
13	113663092	113663738	1	ENSG00000269356	RP11-120K24.4
21	23119293	23169735	1	ENSG00000233997	AP000475.2
13	113663985	113664633	1	ENSG00000269376	RP11-120K24.5
13	113782469	113783194	-1	ENSG00000231882	F10-AS1
13	113784730	113786368	1	ENSG00000230371	KARSP2
15	20192909	20193370	-1	ENSG00000259490	IGHV3OR15-7
13	113819316	113819497	-1	ENSG00000269125	RP11-98F14.11
21	23305635	23348000	-1	ENSG00000227075	AP000472.3
13	113930931	113932049	1	ENSG00000232662	LDHBP1
15	20209093	20209115	-1	ENSG00000270961	IGHD5OR15-5A
13	114005988	114016183	1	ENSG00000225083	GRTP1-AS1
21	23381263	23470778	-1	ENSG00000233215	AP000472.2
13	114123216	114130450	1	ENSG00000233613	DCUN1D2-AS
15	20210050	20210068	-1	ENSG00000271317	IGHD4OR15-4A
13	114133230	114133393	-1	ENSG00000202347	RNU1-16P
13	114451484	114454062	-1	ENSG00000227208	LINC00552
15	20211158	20211188	-1	ENSG00000270783	IGHD3OR15-3A
13	114518603	114542321	1	ENSG00000233695	GAS6-AS1
15	20213655	20213685	-1	ENSG00000271197	IGHD2OR15-2A
13	114567141	114569806	1	ENSG00000272695	GAS6-AS2
21	23470936	23488847	1	ENSG00000184856	LINC00308
13	33907816	33909414	-1	ENSG00000227911	RP11-141M1.1
13	114580581	114582349	1	ENSG00000237699	RP11-199F6.4
15	20216406	20216422	-1	ENSG00000271336	IGHD1OR15-1A
13	33911020	33911109	-1	ENSG00000264288	AL138999.1
18	21852889	21853170	-1	ENSG00000265259	RN7SL247P
HG185_PATCH	39981433	39992515	-1	ENSG00000260753	NT5C3B
21	23507018	23508403	-1	ENSG00000234340	AP000705.8
13	33929343	34250905	-1	ENSG00000230490	RP11-141M1.3
18	21901650	21901699	1	ENSG00000212051	MIR320C2
13	114581673	114586624	-1	ENSG00000226921	LINC00454
18	21944751	21947948	1	ENSG00000264365	RP11-621L6.2
18	21982117	21982678	1	ENSG00000273321	RP11-621L6.3
13	34185104	34185659	1	ENSG00000234535	RP11-37L2.1
13	34231573	34234065	1	ENSG00000232986	RP11-179A7.2
18	22009469	22009573	1	ENSG00000199636	Y_RNA
18	22015328	22019602	1	ENSG00000265094	RP11-178F10.1
13	34403676	34403786	-1	ENSG00000252397	RNU5A-4P
13	34486129	34486218	1	ENSG00000263663	AL161891.1
13	34656566	34657447	-1	ENSG00000227254	VDAC1P12
13	114586640	114626485	1	ENSG00000229373	LINC00452
13	34674848	34674975	-1	ENSG00000199196	SNORA25
15	20737094	20747114	-1	ENSG00000215405	GOLGA6L6
13	34922180	35188307	1	ENSG00000271850	RP11-16D22.2
13	35009587	35214822	-1	ENSG00000225179	LINC00457
21	23526270	23526619	-1	ENSG00000231136	AP000705.6
13	114629487	114631817	-1	ENSG00000260910	LINC00565
13	35120066	35245319	-1	ENSG00000271901	RP11-266E6.3
21	23577511	23577651	1	ENSG00000202339	RNU4-45P
13	114873044	114874295	-1	ENSG00000232487	RASA3-IT1
21	23582258	23793139	1	ENSG00000226043	AP000705.7
13	35148341	35148803	-1	ENSG00000231910	GAMTP2
13	115009980	115010036	1	ENSG00000264539	MIR548AR
13	35499971	35502213	-1	ENSG00000261728	RP11-307O13.1
21	23808610	23810669	-1	ENSG00000223488	MAPK6PS2
13	115039303	115039383	1	ENSG00000265450	MIR4502
13	35759431	35760816	1	ENSG00000232795	SCAND3P1
13	115072121	115072541	1	ENSG00000226158	CLCP2
13	35825207	35825966	1	ENSG00000234835	PHBP13
13	115095034	115099423	-1	ENSG00000229723	LINC01054
15	21004687	21005367	1	ENSG00000268343	AC012414.1
13	36068551	36068674	-1	ENSG00000221519	AL390071.1
13	36271661	36273393	1	ENSG00000236036	LINC00445
13	36841305	36841411	1	ENSG00000207203	RNU6-71P
21	10862622	10863067	1	ENSG00000169861	IGHV1OR21-1
13	36929928	36930015	1	ENSG00000266047	AL139377.1
13	37064215	37064578	-1	ENSG00000223383	HIST1H2APS6
13	37302739	37302829	-1	ENSG00000222602	AL136160.1
13	37314178	37315000	1	ENSG00000235306	GAPDHP34
13	37316015	37316602	-1	ENSG00000223543	TCEAL4P1
13	37363469	37369187	1	ENSG00000215486	ARL2BPP3
HG185_PATCH	39991937	40004636	1	ENSG00000261631	KLHL10
15	21040701	21071643	-1	ENSG00000230031	POTEB2
13	37378335	37379439	-1	ENSG00000271337	NDE1P2
13	37423503	37424183	-1	ENSG00000236711	SMAD9-AS1
13	37496676	37497045	1	ENSG00000228825	LAMTOR3P1
13	37500575	37501356	-1	ENSG00000232378	RPL29P28
13	37512537	37513631	-1	ENSG00000226161	EIF4A1P5
13	37608814	37608929	-1	ENSG00000221100	AL138706.1
13	37740489	37740795	-1	ENSG00000202395	RN7SKP1
13	37794997	37795383	-1	ENSG00000230283	RPS12P24
21	23872924	23892377	-1	ENSG00000234034	AP000959.2
13	38055604	38058906	-1	ENSG00000230390	LINC01048
21	24052992	24053286	1	ENSG00000263796	RN7SL609P
13	38428989	38429107	-1	ENSG00000199276	RNA5SP26
21	24254903	24256321	1	ENSG00000225906	AP000949.1
13	38567222	38568857	-1	ENSG00000228036	HSPD1P9
21	24437813	24503528	1	ENSG00000230972	AP001255.2
HG185_PATCH	40009797	40021683	-1	ENSG00000259896	KLHL11
13	38624954	38717369	-1	ENSG00000223685	LINC00571
21	24462350	24464153	-1	ENSG00000219368	ZNF299P
13	39107480	39119436	-1	ENSG00000236354	LINC00437
21	24473545	24475396	1	ENSG00000231058	MSANTD2P1
13	39150777	39153131	1	ENSG00000229437	LINC00366
21	24654058	24654231	-1	ENSG00000223078	RNU2-55P
13	39191556	39192077	-1	ENSG00000234701	PRDX3P3
21	24733426	24757182	-1	ENSG00000228592	AP000459.4
13	39353561	39353653	1	ENSG00000252795	RNU6-56P
13	39364781	39364891	1	ENSG00000212049	AL590007.1
15	21215823	21215845	-1	ENSG00000270824	IGHD5OR15-5B
13	39395935	39401707	-1	ENSG00000225350	FREM2-AS1
13	39476524	39476787	1	ENSG00000225221	PLA2G12AP2
15	21216780	21216798	-1	ENSG00000270451	IGHD4OR15-4B
13	39496864	39510336	-1	ENSG00000235550	ANKRD26P2
21	24762579	24763317	1	ENSG00000223822	EEF1A1P1
15	21217888	21217918	-1	ENSG00000271255	IGHD3OR15-3B
13	39743773	39744088	-1	ENSG00000214823	NXT1P1
15	21220377	21220407	-1	ENSG00000271305	IGHD2OR15-2B
13	40021252	40021353	-1	ENSG00000238408	snoU13
13	40226715	40226806	1	ENSG00000216014	AL512505.1
13	40238171	40238272	-1	ENSG00000264171	MIR4305
21	24779978	24781448	-1	ENSG00000237569	TUBAP
13	40359552	40359647	-1	ENSG00000200526	RNY4P14
13	40391878	40392186	-1	ENSG00000224351	CDKN2AIPNLP3
15	49280673	49338760	-1	ENSG00000138593	SECISBP2L
13	40430847	40431231	-1	ENSG00000270444	AZU1P1
13	40431272	40431364	-1	ENSG00000212553	SNORD116
15	21223129	21223145	-1	ENSG00000270185	IGHD1OR15-1B
13	40755946	40763165	1	ENSG00000230710	LINC00332
13	40798762	40798999	-1	ENSG00000271429	RPL17P51
13	40800964	40801069	1	ENSG00000207458	RNY3P9
15	22011370	22012050	1	ENSG00000268531	DKFZP547L112
13	40918094	40924440	-1	ENSG00000230058	RP11-172E9.2
13	40981259	40981577	-1	ENSG00000252812	RN7SKP2
13	41025131	41055143	-1	ENSG00000215483	LINC00598
13	41192875	41195485	1	ENSG00000229456	RLIMP1
13	41301964	41302011	-1	ENSG00000211491	MIR320D1
13	41384902	41384997	1	ENSG00000207652	MIR621
13	41396432	41495890	-1	ENSG00000168852	TPTE2P5
15	22051853	22083227	-1	ENSG00000233917	POTEB
21	10906201	11029719	-1	ENSG00000166157	TPTE
HG185_PATCH	40023160	40075239	-1	ENSG00000260245	ACLY
13	41437735	41438038	-1	ENSG00000176268	CYCSP34
13	41482295	41495910	-1	ENSG00000239827	SUGT1P3
13	41566915	41567467	-1	ENSG00000229473	RGS17P1
13	41675155	41675236	-1	ENSG00000264226	MIR3168
21	24804501	24804602	-1	ENSG00000199698	Y_RNA
13	41696012	41696305	1	ENSG00000244264	RN7SL597P
21	24849960	24863043	1	ENSG00000227716	AP000459.7
