chrom	chromstart	chromend	name	ensembl_gene_id	external_gene_name
chr13	97709633	97709634	64	ENSG00000238522	snoU13
chr13	97831875	97831876	65	ENSG00000233124	LINC00456
chr13	25316815	25316816	66	ENSG00000231417	IRX1P1
chr13	98015354	98015355	67	ENSG00000202290	RNA5SP37
chr13	98127996	98127997	68	ENSG00000271625	PSMA6P4
chr13	25326308	25326309	69	ENSG00000226695	ANKRD20A10P
chr13	98330216	98330217	70	ENSG00000226134	RP11-120E13.1
chr13	98538063	98538064	71	ENSG00000238407	snoU13
chr13	98553907	98553908	72	ENSG00000233291	RPL7AP61
chr13	98591610	98591611	73	ENSG00000270725	RP11-383H17.4
chr13	25542624	25542625	74	ENSG00000253771	TPTE2P1
chr13	98639469	98639470	75	ENSG00000232217	FTLP8
chr13	98856445	98856446	76	ENSG00000222969	RN7SKP8
chr13	98860778	98860779	77	ENSG00000263399	MIR3170
chr13	98885904	98885905	78	ENSG00000269189	RP11-573N10.1
chr13	98985489	98985490	79	ENSG00000269599	RP11-261P24.2
chr13	25517713	25517714	80	ENSG00000251299	SLC25A15P3
chr13	99088093	99088094	81	ENSG00000231194	FARP1-AS1
chr13	99205497	99205498	82	ENSG00000271437	RP11-295B17.6
chr13	25563062	25563063	83	ENSG00000232858	RPL34P27
chr13	99229498	99229499	84	ENSG00000224418	STK24-AS1
chr13	25715794	25715795	85	ENSG00000256305	AL359757.1
chr13	99263129	99263130	86	ENSG00000217686	NUS1P4
chr13	25754216	25754217	87	ENSG00000234056	AMER2-AS1
chr13	99282242	99282243	88	ENSG00000233549	CYCSP35
chr13	25755579	25755580	89	ENSG00000238169	LINC01053
chr13	99293492	99293493	90	ENSG00000233662	CALM2P4
chr13	25784432	25784433	91	ENSG00000225105	LINC01076
chr13	99324234	99324235	92	ENSG00000243366	RN7SL60P
chr13	25780187	25780188	93	ENSG00000235315	RPL23AP69
chr13	99484338	99484339	94	ENSG00000229918	DOCK9-AS1
chr13	25820669	25820670	95	ENSG00000221324	AL590787.1
chr13	25875575	25875576	96	ENSG00000260509	RP11-271M24.2
chr13	99602700	99602701	97	ENSG00000231981	RPL7L1P12
chr13	25940292	25940293	98	ENSG00000234152	TCEB2P1
chr13	26027427	26027428	99	ENSG00000265546	RN7SL289P
chr13	99677488	99677489	100	ENSG00000207298	RNU6-83P
chr13	26091257	26091258	101	ENSG00000199767	RNU6-78P
chr13	99740073	99740074	102	ENSG00000260992	DOCK9-AS2
chr13	26437804	26437805	103	ENSG00000180803	RP11-467D10.2
chr13	99825847	99825848	104	ENSG00000230871	RPS6P23
chr13	26518632	26518633	105	ENSG00000242381	RN7SL741P
chr13	26524958	26524959	106	ENSG00000223158	RNY1P3
chr13	26627522	26627523	107	ENSG00000231983	LINC00415
chr13	99843244	99843245	108	ENSG00000234005	GAPDHP22
chr13	99852963	99852964	109	ENSG00000228889	UBAC2-AS1
chr13	26728312	26728313	110	ENSG00000233963	ATP8A2P3
chr13	99857962	99857963	111	ENSG00000201793	RN7SKP9
chr13	99868011	99868012	112	ENSG00000218502	H2AFZP3
chr13	100008385	100008386	113	ENSG00000207719	MIR623
chr13	26693101	26693102	114	ENSG00000234706	PRUNEP1
chr13	100024427	100024428	115	ENSG00000228808	HMGB3P4
chr13	26803780	26803781	116	ENSG00000271559	RP11-380N8.6
chr13	100061315	100061316	117	ENSG00000238241	CCR12P
chr13	26808350	26808351	118	ENSG00000227882	PRKRIRP6
chr13	100105722	100105723	119	ENSG00000266207	AL583784.1
chr13	100153305	100153306	120	ENSG00000203441	LINC00449
chr13	27151023	27151024	121	ENSG00000234031	RPS3AP44
chr13	100188649	100188650	122	ENSG00000212197	RNY3P6
chr13	100229366	100229367	123	ENSG00000234168	LINC01039
chr13	27215500	27215501	124	ENSG00000237001	WASF3-AS1
chr13	100234960	100234961	125	ENSG00000234239	CFL1P8
chr13	27479499	27479500	126	ENSG00000230256	FGFR1OP2P1
chr13	27551680	27551681	127	ENSG00000223782	RPS21P8
chr13	100295313	100295314	128	ENSG00000263615	MIR4306
chr13	27592045	27592046	129	ENSG00000218198	RPS20P32
chr13	100343224	100343225	130	ENSG00000227659	CLYBL-AS2
chr13	27736992	27736993	131	ENSG00000232162	USP12-AS1
chr13	100379744	100379745	132	ENSG00000234303	CLYBL-AS1
chr13	27746396	27746397	133	ENSG00000230641	USP12-AS2
chr13	27810947	27810948	134	ENSG00000234772	LINC00412
chr13	100436236	100436237	135	ENSG00000201245	SNORA25
chr13	100436410	100436411	136	ENSG00000238305	snoU13
chr13	27829201	27829202	137	ENSG00000207500	SNORD102
chr13	100650162	100650163	138	ENSG00000260738	LINC00554
chr13	27829538	27829539	139	ENSG00000207051	SNORA27
chr13	27894150	27894151	140	ENSG00000221756	AL159977.1
chr13	100680427	100680428	141	ENSG00000225999	NDUFA12P1
chr13	27917882	27917883	142	ENSG00000252247	RNU6-70P
chr13	27947485	27947486	143	ENSG00000229609	LINC01079
chr13	100715854	100715855	144	ENSG00000236554	ASNSP3
chr13	27976723	27976724	145	ENSG00000201242	RNY1P1
chr13	28008751	28008752	146	ENSG00000203602	AL137059.1
chr13	28062275	28062276	147	ENSG00000252499	RNU6-63P
chr13	100803345	100803346	148	ENSG00000228501	RPL15P18
chr13	28271340	28271341	149	ENSG00000226703	NPM1P4
chr13	100850722	100850723	150	ENSG00000270632	RP11-340C20.3
chr13	28402900	28402901	151	ENSG00000207330	RNU6-73P
chr13	101133410	101133411	152	ENSG00000234650	PCCA-AS1
chr13	28495540	28495541	153	ENSG00000247381	PDX1-AS1
chr13	28527663	28527664	154	ENSG00000260704	LINC00543
chr13	28563720	28563721	155	ENSG00000242360	RN7SL272P
chr13	101232370	101232371	156	ENSG00000224356	RP11-151A6.4
chr13	28641724	28641725	157	ENSG00000271026	KATNBL1P1
chr13	28681568	28681569	158	ENSG00000235115	CHCHD2P8
chr13	101192527	101192528	159	ENSG00000234354	RPS26P47
chr13	28712329	28712330	160	ENSG00000261485	PAN3-AS1
chr13	101276682	101276683	161	ENSG00000237082	COX5BP6
chr13	28788650	28788651	162	ENSG00000232587	EEF1A1P3
chr13	28806638	28806639	163	ENSG00000200840	RNU6-82P
chr13	101360579	101360580	164	ENSG00000233009	NALCN-AS1
chr13	29172970	29172971	165	ENSG00000235472	EIF4A1P7
chr13	29277943	29277944	166	ENSG00000202237	RNU6-53P
chr13	101409312	101409313	167	ENSG00000214051	ARF4P3
chr13	29298157	29298158	168	ENSG00000233588	CYP51A1P2
chr13	101596617	101596618	169	ENSG00000229599	LINC00411
chr13	29352695	29352696	170	ENSG00000236339	POM121L13P
chr13	102369727	102369728	171	ENSG00000272349	RP11-397O8.7
chr13	29796699	29796700	172	ENSG00000221670	AL596092.1
chr13	102431397	102431398	173	ENSG00000201155	RNU1-24P
chr13	29824690	29824691	174	ENSG00000236758	MTUS2-AS2
chr13	102454228	102454229	175	ENSG00000215399	HMGB3P7
chr13	102620095	102620096	176	ENSG00000265164	MIR2681
chr13	29880915	29880916	177	ENSG00000223460	GAPDHP69
chr13	102654475	102654476	178	ENSG00000229975	LIPT1P1
chr13	29914005	29914006	179	ENSG00000270680	RP11-351N4.4
chr13	102669418	102669419	180	ENSG00000201690	RNY1P2
chr13	30064241	30064242	181	ENSG00000179141	MTUS2-AS1
chr13	102698353	102698354	182	ENSG00000264482	MIR4705
chr13	102915551	102915552	183	ENSG00000236860	RPL39P29
chr13	30440305	30440306	184	ENSG00000236258	TIMM8BP1
chr13	30462541	30462542	185	ENSG00000224329	LINC00297
chr13	103046868	103046869	186	ENSG00000243319	FGF14-IT1
chr13	30500787	30500788	187	ENSG00000224405	LINC00572
chr13	103019889	103019890	188	ENSG00000234445	FGF14-AS1
chr13	30510042	30510043	189	ENSG00000122043	LINC00544
chr13	103046980	103046981	190	ENSG00000272143	FGF14-AS2
chr13	30597936	30597937	191	ENSG00000266505	RP11-629E24.2
chr13	103054806	103054807	192	ENSG00000270581	RP11-811P12.3
chr13	103242162	103242163	193	ENSG00000261057	LINC00555
chr13	30683011	30683012	194	ENSG00000224511	LINC00365
chr13	103331776	103331777	195	ENSG00000269942	RP11-29B2.5
chr13	30733757	30733758	196	ENSG00000232117	LINC00384
chr13	103374152	103374153	197	ENSG00000238869	snoU13
chr13	103395340	103395341	198	ENSG00000231633	LINC00283
chr13	30728203	30728204	199	ENSG00000232643	LINC00385
chr13	103472343	103472344	200	ENSG00000222301	RNY5P8
chr13	30780835	30780836	201	ENSG00000266816	AL356750.1
chr13	30855902	30855903	202	ENSG00000252928	RNU6-64P
chr13	103532449	103532450	203	ENSG00000250878	METTL21EP
chr13	30870284	30870285	204	ENSG00000215049	PRDX2P1
chr13	103541208	103541209	205	ENSG00000272542	RP11-255P5.2
chr13	30894039	30894040	206	ENSG00000236463	LINC00427
chr13	104077550	104077551	207	ENSG00000234551	RP11-123H22.1
chr13	104097317	104097318	208	ENSG00000230474	ATP6V1G1P7
chr13	105466678	105466679	209	ENSG00000225823	RPL7P45
chr13	106158029	106158030	210	ENSG00000232307	DAOA-AS1
chr13	30951281	30951282	211	ENSG00000238121	LINC00426
chr13	106356629	106356630	212	ENSG00000226620	LINC00343
chr13	30996373	30996374	213	ENSG00000225039	LINC01058
chr13	106549991	106549992	214	ENSG00000252550	SNORA25
chr13	31002084	31002085	215	ENSG00000236444	UBE2L5P
chr13	106780720	106780721	216	ENSG00000222643	AL603632.1
chr13	106807838	106807839	217	ENSG00000222682	RNA5SP38
chr13	31117597	31117598	218	ENSG00000213411	RBM22P2
chr13	107028911	107028912	219	ENSG00000233532	LINC00460
chr13	31117033	31117034	220	ENSG00000232489	MFAP1P1
chr13	107078121	107078122	221	ENSG00000174418	RPL35P9
chr13	31127807	31127808	222	ENSG00000224117	PTPN2P2
chr13	107270158	107270159	223	ENSG00000272274	LINC00551
chr13	107306264	107306265	224	ENSG00000230156	LINC00443
chr13	31377343	31377344	225	ENSG00000237879	LINC00398
chr13	107315785	107315786	226	ENSG00000227590	ATP5G1P5
chr13	107516633	107516634	227	ENSG00000174408	PPIAP24
chr13	31507982	31507983	228	ENSG00000224743	TEX26-AS1
chr13	107594906	107594907	229	ENSG00000196777	AL162574.1
chr13	107627373	107627374	230	ENSG00000239050	AL354741.1
chr13	107773381	107773382	231	ENSG00000221316	AL445204.1
chr13	107973310	107973311	232	ENSG00000201847	SNORD31
chr13	108183595	108183596	233	ENSG00000221650	MIR1267
chr13	108288379	108288380	234	ENSG00000221473	AL138710.1
chr13	108487798	108487799	235	ENSG00000227248	FAM155A-IT1
chr13	108953678	108953679	236	ENSG00000223177	RNA5SP39
chr13	109132574	109132575	237	ENSG00000232087	HCFC2P1
chr13	109754266	109754267	238	ENSG00000229938	MYO16-AS2
chr13	31456688	31456689	239	ENSG00000236094	LINC00545
chr13	109853830	109853831	240	ENSG00000236242	MYO16-AS1
chr13	31551759	31551760	241	ENSG00000238185	RP11-252M21.6
chr13	109934321	109934322	242	ENSG00000223617	LINC00370
chr21	19986749	19986750	243	ENSG00000230233	AF240627.2
chr13	31570274	31570275	244	ENSG00000230403	LINC01066
chr13	109962483	109962484	245	ENSG00000236053	LINC01067
chr21	20058481	20058482	246	ENSG00000265841	MIR548X
chr13	31651391	31651392	247	ENSG00000231894	WDR95P
chr13	110053043	110053044	248	ENSG00000229792	LINC00399
chr21	20076771	20076772	249	ENSG00000221041	AP001537.1
chr13	110380629	110380630	250	ENSG00000234854	LINC00676
chr21	20230097	20230098	251	ENSG00000198618	PPIAP22
chr13	31885426	31885427	252	ENSG00000229427	ANKRD26P4
chr13	110407614	110407615	253	ENSG00000255813	AL162497.1
chr13	110567443	110567444	254	ENSG00000201161	RN7SKP10
chr13	110705632	110705633	255	ENSG00000231428	LINC00396
chr21	20308176	20308177	256	ENSG00000232193	AL157359.4
chr13	32420978	32420979	257	ENSG00000229715	EEF1DP3
chr21	20339375	20339376	258	ENSG00000226204	AL157359.3
chr13	110750497	110750498	259	ENSG00000265885	RN7SL783P
chr13	111066552	111066553	260	ENSG00000238629	snoU13
chr21	20420002	20420003	261	ENSG00000235965	AP000431.1
chr13	111115633	111115634	262	ENSG00000224821	COL4A2-AS2
chr13	32559822	32559823	263	ENSG00000235822	LINC01073
chr21	20502841	20502842	264	ENSG00000229289	AP000431.2
chr13	32605775	32605776	265	ENSG00000237637	FRY-AS1
chr13	111160525	111160526	266	ENSG00000232814	COL4A2-AS1
chr21	20616860	20616861	267	ENSG00000226818	SLC6A6P1
chr13	32872291	32872292	268	ENSG00000230633	RP11-37E23.5
chr13	111291555	111291556	269	ENSG00000255831	AL139385.1
chr21	20673930	20673931	270	ENSG00000231620	AP000855.4
chr13	32958797	32958798	271	ENSG00000215515	IFIT1P1
chr13	111415479	111415480	272	ENSG00000225239	RPL21P107
chr21	20717465	20717466	273	ENSG00000212609	RNU1-139P
chr13	111465430	111465431	274	ENSG00000259831	LINC00567
chr13	32994652	32994653	275	ENSG00000212293	SNORA16
chr21	20966155	20966156	276	ENSG00000230198	RPL37P4
chr13	33007090	33007091	277	ENSG00000270008	RP11-298P3.4
chr13	111551518	111551519	278	ENSG00000229152	ANKRD10-IT1
chr21	20993009	20993010	279	ENSG00000271486	AP000403.3
chr21	21112023	21112024	280	ENSG00000229336	AP000568.2
chr13	33051411	33051412	281	ENSG00000229800	ATP8A2P2
chr13	111589106	111589107	282	ENSG00000227105	PARP1P1
chr21	21132441	21132442	283	ENSG00000215353	C1QBPP
chr21	21272068	21272069	284	ENSG00000233480	AP000946.2
chr13	111635654	111635655	285	ENSG00000225760	LINC00431
chr21	21631132	21631133	286	ENSG00000233236	AP001171.1
chr13	111748185	111748186	287	ENSG00000225870	LINC00368
chr21	21728163	21728164	288	ENSG00000251851	RNU6-772P
chr21	21728965	21728966	289	ENSG00000252963	RN7SKP147
chr13	111768024	111768025	290	ENSG00000235875	ARHGEF7-AS2
chr13	33337689	33337690	291	ENSG00000207325	RNY1P4
chr21	21760646	21760647	292	ENSG00000233676	FDPSP6
chr13	33485787	33485788	293	ENSG00000226968	LINC00423
chr13	111774999	111775000	294	ENSG00000233644	ARHGEF7-IT1
chr21	21798517	21798518	295	ENSG00000234439	KRT18P2
chr13	111797079	111797080	296	ENSG00000227352	ARHGEF7-AS1
chr13	33528538	33528539	297	ENSG00000227604	TOMM22P3
chr21	21803073	21803074	298	ENSG00000233206	RPS3AP1
chr13	33615489	33615490	299	ENSG00000221677	AL161898.1
chr13	112248356	112248357	300	ENSG00000215881	RP11-65D24.1
chr13	33738545	33738546	301	ENSG00000230300	STARD13-IT1
chr13	112554299	112554300	302	ENSG00000226903	LINC00354
chr21	22175533	22175534	303	ENSG00000224924	LINC00320
chr13	112563147	112563148	304	ENSG00000264989	AL136302.1
chr13	112706392	112706393	305	ENSG00000200072	SNORD44
chr13	112737863	112737864	306	ENSG00000260385	RP11-450H6.3
chr13	112761195	112761196	307	ENSG00000229520	LINC00404
chr21	22200939	22200940	308	ENSG00000215351	PPIAP1
chr13	112761433	112761434	309	ENSG00000224243	LINC00403
chr21	22599149	22599150	310	ENSG00000226771	AP001136.2
chr13	112851664	112851665	311	ENSG00000260102	LINC01070
chr21	22770145	22770146	312	ENSG00000221210	AP001137.1
chr21	22939084	22939085	313	ENSG00000234730	AF241725.4
chr13	112967781	112967782	314	ENSG00000260343	LINC01043
chr21	23007048	23007049	315	ENSG00000198434	AF241725.1
chr13	112985538	112985539	316	ENSG00000223626	LINC01044
chr21	23058648	23058649	317	ENSG00000237527	AF241725.6
chr13	113372227	113372228	318	ENSG00000264726	AL162711.1
chr13	113409006	113409007	319	ENSG00000232684	ATP11A-AS1
chr21	23109638	23109639	320	ENSG00000238265	LINC00317
chr13	113539551	113539552	321	ENSG00000234603	AL356740.1
chr13	33845516	33845517	322	ENSG00000236581	STARD13-AS
chr13	113620444	113620445	323	ENSG00000267868	RP11-120K24.3
chr15	20170353	20170354	324	ENSG00000188403	IGHV1OR15-9
chr13	113623137	113623138	325	ENSG00000235280	MCF2L-AS1
chr13	113663092	113663093	326	ENSG00000269356	RP11-120K24.4
chr21	23119293	23119294	327	ENSG00000233997	AP000475.2
chr13	113663985	113663986	328	ENSG00000269376	RP11-120K24.5
chr13	113783193	113783194	329	ENSG00000231882	F10-AS1
chr13	113784730	113784731	330	ENSG00000230371	KARSP2
chr15	20193369	20193370	331	ENSG00000259490	IGHV3OR15-7
chr13	113819496	113819497	332	ENSG00000269125	RP11-98F14.11
chr21	23347999	23348000	333	ENSG00000227075	AP000472.3
chr13	113930931	113930932	334	ENSG00000232662	LDHBP1
chr15	20209114	20209115	335	ENSG00000270961	IGHD5OR15-5A
chr13	114005988	114005989	336	ENSG00000225083	GRTP1-AS1
chr21	23470777	23470778	337	ENSG00000233215	AP000472.2
chr13	114123216	114123217	338	ENSG00000233613	DCUN1D2-AS
chr15	20210067	20210068	339	ENSG00000271317	IGHD4OR15-4A
chr13	114133392	114133393	340	ENSG00000202347	RNU1-16P
chr13	114454061	114454062	341	ENSG00000227208	LINC00552
chr15	20211187	20211188	342	ENSG00000270783	IGHD3OR15-3A
chr13	114518603	114518604	343	ENSG00000233695	GAS6-AS1
chr15	20213684	20213685	344	ENSG00000271197	IGHD2OR15-2A
chr13	114567141	114567142	345	ENSG00000272695	GAS6-AS2
chr21	23470936	23470937	346	ENSG00000184856	LINC00308
chr13	33909413	33909414	347	ENSG00000227911	RP11-141M1.1
chr13	114580581	114580582	348	ENSG00000237699	RP11-199F6.4
chr15	20216421	20216422	349	ENSG00000271336	IGHD1OR15-1A
chr13	33911108	33911109	350	ENSG00000264288	AL138999.1
chr18	21853169	21853170	351	ENSG00000265259	RN7SL247P
chr21	23508402	23508403	352	ENSG00000234340	AP000705.8
chr13	34250904	34250905	353	ENSG00000230490	RP11-141M1.3
chr18	21901650	21901651	354	ENSG00000212051	MIR320C2
chr13	114586623	114586624	355	ENSG00000226921	LINC00454
chr18	21944751	21944752	356	ENSG00000264365	RP11-621L6.2
chr18	21982117	21982118	357	ENSG00000273321	RP11-621L6.3
chr13	34185104	34185105	358	ENSG00000234535	RP11-37L2.1
chr13	34231573	34231574	359	ENSG00000232986	RP11-179A7.2
chr18	22009469	22009470	360	ENSG00000199636	Y_RNA
chr18	22015328	22015329	361	ENSG00000265094	RP11-178F10.1
chr13	34403785	34403786	362	ENSG00000252397	RNU5A-4P
chr13	34486129	34486130	363	ENSG00000263663	AL161891.1
chr13	34657446	34657447	364	ENSG00000227254	VDAC1P12
chr13	114586640	114586641	365	ENSG00000229373	LINC00452
chr13	34674974	34674975	366	ENSG00000199196	SNORA25
chr15	20747113	20747114	367	ENSG00000215405	GOLGA6L6
chr13	34922180	34922181	368	ENSG00000271850	RP11-16D22.2
chr13	35214821	35214822	369	ENSG00000225179	LINC00457
chr21	23526618	23526619	370	ENSG00000231136	AP000705.6
chr13	114631816	114631817	371	ENSG00000260910	LINC00565
chr13	35245318	35245319	372	ENSG00000271901	RP11-266E6.3
chr21	23577511	23577512	373	ENSG00000202339	RNU4-45P
chr13	114874294	114874295	374	ENSG00000232487	RASA3-IT1
chr21	23582258	23582259	375	ENSG00000226043	AP000705.7
chr13	35148802	35148803	376	ENSG00000231910	GAMTP2
chr13	115009980	115009981	377	ENSG00000264539	MIR548AR
chr13	35502212	35502213	378	ENSG00000261728	RP11-307O13.1
chr21	23810668	23810669	379	ENSG00000223488	MAPK6PS2
chr13	115039303	115039304	380	ENSG00000265450	MIR4502
chr13	35759431	35759432	381	ENSG00000232795	SCAND3P1
chr13	115072121	115072122	382	ENSG00000226158	CLCP2
chr13	35825207	35825208	383	ENSG00000234835	PHBP13
chr13	115099422	115099423	384	ENSG00000229723	LINC01054
chr15	21004687	21004688	385	ENSG00000268343	AC012414.1
chr13	36068673	36068674	386	ENSG00000221519	AL390071.1
chr13	36271661	36271662	387	ENSG00000236036	LINC00445
chr13	36841305	36841306	388	ENSG00000207203	RNU6-71P
chr21	10862622	10862623	389	ENSG00000169861	IGHV1OR21-1
chr13	36929928	36929929	390	ENSG00000266047	AL139377.1
chr13	37064577	37064578	391	ENSG00000223383	HIST1H2APS6
chr13	37302828	37302829	392	ENSG00000222602	AL136160.1
chr13	37314178	37314179	393	ENSG00000235306	GAPDHP34
chr13	37316601	37316602	394	ENSG00000223543	TCEAL4P1
chr13	37363469	37363470	395	ENSG00000215486	ARL2BPP3
chr15	21071642	21071643	396	ENSG00000230031	POTEB2
chr13	37379438	37379439	397	ENSG00000271337	NDE1P2
chr13	37424182	37424183	398	ENSG00000236711	SMAD9-AS1
chr13	37496676	37496677	399	ENSG00000228825	LAMTOR3P1
chr13	37501355	37501356	400	ENSG00000232378	RPL29P28
chr13	37513630	37513631	401	ENSG00000226161	EIF4A1P5
chr13	37608928	37608929	402	ENSG00000221100	AL138706.1
chr13	37740794	37740795	403	ENSG00000202395	RN7SKP1
chr13	37795382	37795383	404	ENSG00000230283	RPS12P24
chr21	23892376	23892377	405	ENSG00000234034	AP000959.2
chr13	38058905	38058906	406	ENSG00000230390	LINC01048
chr21	24052992	24052993	407	ENSG00000263796	RN7SL609P
chr13	38429106	38429107	408	ENSG00000199276	RNA5SP26
chr21	24254903	24254904	409	ENSG00000225906	AP000949.1
chr13	38568856	38568857	410	ENSG00000228036	HSPD1P9
chr21	24437813	24437814	411	ENSG00000230972	AP001255.2
chr13	38717368	38717369	412	ENSG00000223685	LINC00571
chr21	24464152	24464153	413	ENSG00000219368	ZNF299P
chr13	39119435	39119436	414	ENSG00000236354	LINC00437
chr21	24473545	24473546	415	ENSG00000231058	MSANTD2P1
chr13	39150777	39150778	416	ENSG00000229437	LINC00366
chr21	24654230	24654231	417	ENSG00000223078	RNU2-55P
chr13	39192076	39192077	418	ENSG00000234701	PRDX3P3
chr21	24757181	24757182	419	ENSG00000228592	AP000459.4
chr13	39353561	39353562	420	ENSG00000252795	RNU6-56P
chr13	39364781	39364782	421	ENSG00000212049	AL590007.1
chr15	21215844	21215845	422	ENSG00000270824	IGHD5OR15-5B
chr13	39401706	39401707	423	ENSG00000225350	FREM2-AS1
chr13	39476524	39476525	424	ENSG00000225221	PLA2G12AP2
chr15	21216797	21216798	425	ENSG00000270451	IGHD4OR15-4B
chr13	39510335	39510336	426	ENSG00000235550	ANKRD26P2
chr21	24762579	24762580	427	ENSG00000223822	EEF1A1P1
chr15	21217917	21217918	428	ENSG00000271255	IGHD3OR15-3B
chr13	39744087	39744088	429	ENSG00000214823	NXT1P1
chr15	21220406	21220407	430	ENSG00000271305	IGHD2OR15-2B
chr13	40021352	40021353	431	ENSG00000238408	snoU13
chr13	40226715	40226716	432	ENSG00000216014	AL512505.1
chr13	40238271	40238272	433	ENSG00000264171	MIR4305
chr21	24781447	24781448	434	ENSG00000237569	TUBAP
chr13	40359646	40359647	435	ENSG00000200526	RNY4P14
chr13	40392185	40392186	436	ENSG00000224351	CDKN2AIPNLP3
chr15	49338759	49338760	437	ENSG00000138593	SECISBP2L
chr13	40431230	40431231	438	ENSG00000270444	AZU1P1
chr13	40431363	40431364	439	ENSG00000212553	SNORD116
chr15	21223144	21223145	440	ENSG00000270185	IGHD1OR15-1B
chr13	40755946	40755947	441	ENSG00000230710	LINC00332
chr13	40798998	40798999	442	ENSG00000271429	RPL17P51
chr13	40800964	40800965	443	ENSG00000207458	RNY3P9
chr15	22011370	22011371	444	ENSG00000268531	DKFZP547L112
chr13	40924439	40924440	445	ENSG00000230058	RP11-172E9.2
chr13	40981576	40981577	446	ENSG00000252812	RN7SKP2
chr13	41055142	41055143	447	ENSG00000215483	LINC00598
chr13	41192875	41192876	448	ENSG00000229456	RLIMP1
chr13	41302010	41302011	449	ENSG00000211491	MIR320D1
chr13	41384902	41384903	450	ENSG00000207652	MIR621
chr13	41495889	41495890	451	ENSG00000168852	TPTE2P5
chr15	22083226	22083227	452	ENSG00000233917	POTEB
