macro	gr	n	OR	fisher_pvalue	pval_tr
Chromatin organization	gr3	9	1.93423259258825	0.0686768368122131	1.16318971622861
Circadian Clock	gr3	1	0.503601481340197	0.863265318329798	0.0638557065121564
DNA Repair	gr3	10	0.260005226324684	0.999999921744368	3.3985990281309e-08
DNA Replication	gr3	20	1.08781228960078	0.401355372641728	0.396470919075552
Developmental Biology	gr3	25	0.856674425993701	0.792335081171244	0.101091114966001
Digestion and absorption	gr3	1	1.41193542068539	0.548575171452731	0.260763852482649
Disease	gr3	41	0.899655692741003	0.75659981526795	0.121133769080969
Extracellular matrix organization	gr3	9	0.578491320537781	0.965487134793669	0.0152535088606024
Gene expression (Transcription)	gr3	63	1.31497426931971	0.0344487173574515	1.4628269437114
Hemostasis	gr3	3	0.120850471471053	0.999999975292108	1.07305011714906e-08
Immune System	gr3	251	5.33016247712403	1.74483780865162e-68	67.7582449366597
Metabolism	gr3	45	0.273775352330856	1	0
Metabolism of RNA	gr3	26	0.87433588032722	0.766221519239019	0.11564565507348
Metabolism of proteins	gr3	101	1.68353465530927	1.21051619374045e-05	4.91702939638741
Muscle contraction	gr3	0	0	1	0
Neuronal System	gr3	3	0.144148526346362	0.999999307133506	3.00908199217361e-07
Organelle biogenesis and maintenance	gr3	3	0.24656635667469	0.99926047042353	0.000321292431541627
Programmed Cell Death	gr3	25	3.75290469725796	1.01634981975713e-06	5.99295678551518
Protein localization	gr3	0	0	1	0
Reproduction	gr3	11	3.13125733918054	0.00320038111502828	2.49479830096191
Sensory Perception	gr3	2	0.31929853465827	0.983303068247582	0.0073126056859193
Signal Transduction	gr3	84	0.533513692072767	0.999999992995024	3.04222250050097e-09
Transport of small molecules	gr3	19	0.649839644932132	0.975550309192373	0.0107503290975003
Vesicle-mediated transport	gr3	1	0.0305262100918704	0.999999999999923	3.35585958360557e-14
